,return,iv,ive,rv,realiv
2022-03-02,,26.8381,25.292,28.71,26.065675605458875
2022-03-31,,25.292,29.426,21.72,24.470821342141623
2022-04-29,,29.426,26.8844,30.54,28.72325380521876
2022-05-30,,26.8844,27.4764,32.94,25.99383375808116
2022-06-28,,27.4764,27.0738,20.55,26.605657049634377
2022-07-27,,27.0738,25.0327,27.51,26.18967499841797
2022-08-25,,25.0327,28.9061,25.44,24.135267988571517
2022-09-23,,28.9061,29.9683,31.52,28.13250271127979
2022-10-24,,29.9683,26.4183,41.21,29.22283518894368
2022-11-22,,26.4183,26.8254,25.9,25.47915443967567
2022-12-21,,26.8254,25.3578,15.19,25.90101969480824
2023-01-19,,25.3578,23.1993,32.84,24.37783331042455
2023-02-17,,23.1993,25.3799,19.81,22.111458511266036
2023-03-20,,25.3799,22.652,20.29,24.3895141611193
2023-04-18,,22.652,23.6428,25.06,21.536531313223097
2023-05-17,,23.6428,21.1018,19.52,22.665956698434844
2023-06-15,,21.1018,20.0339,19.82,20.001239073000537
2023-07-14,,20.0339,20.4259,23.92,18.87116187269145
2023-08-14,,20.4259,20.5606,14.87,19.027860836856576
2023-09-12,,20.5606,22.6378,18.22,19.17238559952257
2023-10-11,,22.6378,22.5111,51.21,21.384856465657663
2023-11-09,,22.5111,22.1892,18.93,21.21621062627092
2023-12-08,,22.1892,21.7498,11.18,20.874351888580662
2024-01-08,,21.7498,23.2391,61.07,20.406659946406982
2024-02-06,,23.2391,24.6682,22.82,21.66593917350036
2024-03-06,,24.6682,26.4151,18.98,23.19218063701249
2024-04-04,,26.4151,23.3076,17.19,25.04225747551161
2024-05-03,,23.3076,21.7631,19.08,21.17238797671844
2024-06-03,,21.7631,24.3673,25.84,19.459144803579925
2024-07-02,,24.3673,25.4392,28.55,22.33363168333112
2024-07-31,,25.4392,23.7667,32.38,23.498482749247696
