,return,iv,ive,rv,realiv
2022-02-01,,34.1977,37.5314,46.25,33.03637851764884
2022-03-02,,37.5314,35.792,54.02,36.30496315004344
2022-03-31,,35.792,42.8073,47.31,34.50379149261733
2022-04-29,,42.8073,41.8929,48.73,41.73618689645727
2022-05-30,,41.8929,42.8949,54.8,40.6963237478671
2022-06-28,,42.8949,40.0946,37.26,41.72706726084655
2022-07-27,,40.0946,36.4498,26.16,38.84266527082316
2022-08-25,,36.4498,41.0595,40.75,35.13564567841445
2022-09-23,,41.0595,43.9619,45.4,39.89747131647673
2022-10-24,,43.9619,38.3784,44.9,42.87859989329274
2022-11-22,,38.3784,39.3556,40.13,37.07308744997102
2022-12-21,,39.3556,35.9442,27.53,38.0837954762022
2023-01-19,,35.9442,33.0834,39.23,34.54703663345381
2023-02-17,,33.0834,43.6417,51.61,31.74625340595029
2023-03-20,,43.6417,35.5924,35.22,42.63697020948851
2023-04-18,,35.5924,35.1574,34.73,34.35305208441908
2023-05-17,,35.1574,30.1101,28.4,34.00238630172032
2023-06-15,,30.1101,28.8794,24.1,28.753045429335263
2023-07-14,,28.8794,29.036,27.12,27.46159579870437
2023-08-14,,29.036,27.6062,22.17,27.556155845419138
2023-09-12,,27.6062,31.544,23.16,26.04524347010462
2023-10-11,,31.544,31.8518,38.0,30.18735438850227
2023-11-09,,31.8518,28.9866,20.62,30.37394083514387
2023-12-08,,28.9866,28.8021,21.64,27.354379871911192
2024-01-08,,28.8021,28.3638,22.53,27.158793843372727
2024-02-06,,28.3638,29.9717,21.48,26.69352485260837
2024-03-06,,29.9717,30.3072,18.28,28.253187452660416
2024-04-04,,30.3072,29.7668,32.46,28.60884779548397
2024-05-03,,29.7668,30.2892,26.88,27.995072076866872
2024-06-03,,30.2892,29.1606,27.19,28.54990919405824
2024-07-02,,29.1606,29.4219,23.35,27.349630174994527
2024-07-31,,29.4219,29.9362,56.73,27.6280632321372
