,return,iv,ive,rv,realiv
2022-03-02,,69.3439,68.9801,69.8,66.40299765808464
2022-03-31,,68.9801,76.8873,72.34,66.02299468200147
2022-04-29,,76.8873,82.4088,147.27,74.2457980767908
2022-05-30,,82.4088,79.9537,100.66,78.63460185451129
2022-06-28,,79.9537,77.5669,68.46,76.0577703792815
2022-07-27,,77.5669,76.5035,104.23,73.54464132068026
2022-08-25,,76.5035,77.128,61.87,72.15993094999106
2022-09-23,,77.128,80.6128,58.64,72.82168980775906
2022-10-24,,80.6128,78.3728,94.53,76.50289959405119
2022-11-22,,78.3728,79.9695,80.84,72.99422880204888
2022-12-21,,79.9695,80.8053,66.98,74.7059742511659
2023-01-19,,80.8053,73.3891,112.5,75.59998787470713
2023-02-17,,73.3891,75.1677,54.58,66.73356358626705
2023-03-20,,75.1677,69.7607,42.73,68.6847263472917
2023-04-18,,69.7607,64.9441,87.66,62.7213183423495
2023-05-17,,64.9441,62.2847,55.54,58.39853531322081
2023-06-15,,62.2847,58.8317,44.54,55.42595651867
2023-07-14,,58.8317,58.3467,88.13,51.51525722355948
2023-08-14,,58.3467,55.4795,27.91,49.0703569995353
2023-09-12,,55.4795,61.6845,48.16,45.62386936047668
2023-10-11,,61.6845,57.7165,37.91,52.99566091126558
2023-11-09,,57.7165,56.2213,52.93,47.99444485283785
2023-12-08,,56.2213,56.2146,40.39,46.18557067063363
2024-01-08,,56.2146,57.9002,67.26,46.17741458377778
2024-02-06,,57.9002,60.4829,88.29,48.21520013981164
2024-03-06,,60.4829,60.9125,45.37,51.4740394474029
2024-04-04,,60.9125,62.4131,50.89,51.97815118752099
2024-05-03,,62.4131,55.5611,58.81,53.72886185499177
2024-06-03,,55.5611,57.6508,35.92,46.6938877990724
2024-07-02,,57.6508,59.0083,47.66,49.16195749990395
2024-07-31,,59.0083,52.0965,71.64,50.74704714042347
