,return,iv,ive,rv
2022-01-19,,53.6091,58.5947,54.7
2022-02-17,,58.5947,56.1002,62.84
2022-03-18,,56.1002,51.8773,45.41
2022-04-18,,51.8773,54.0671,47.46
2022-05-17,,54.0671,56.2853,94.24
2022-06-15,,56.2853,54.944,48.5
2022-07-14,,54.944,50.9936,49.8
2022-08-12,,50.9936,48.5042,53.8
2022-09-12,,48.5042,54.5569,52.72
2022-10-11,,54.5569,53.7308,35.59
2022-11-09,,53.7308,52.247,69.69
2022-12-08,,52.247,49.811,61.2
2023-01-06,,49.811,44.9975,31.25
2023-02-06,,44.9975,45.9603,33.68
2023-03-07,,45.9603,42.5331,43.09
2023-04-05,,42.5331,45.0649,34.99
2023-05-04,,45.0649,45.6799,44.64
2023-06-02,,45.6799,39.3911,40.94
2023-07-03,,39.3911,39.469,29.84
2023-08-01,,39.469,45.5437,38.87
2023-08-30,,45.5437,40.6067,40.54
2023-09-28,,40.6067,48.3475,39.21
2023-10-27,,48.3475,44.6014,47.26
2023-11-27,,44.6014,39.3388,44.04
2023-12-26,,39.3388,38.9014,33.4
2024-01-24,,38.9014,40.8094,31.88
2024-02-22,,40.8094,38.8896,44.23
2024-03-22,,38.8896,38.2366,30.35
2024-04-22,,38.2366,38.3809,27.61
2024-05-21,,38.3809,36.1382,34.1
2024-06-19,,36.1382,38.6255,41.01
2024-07-18,,38.6255,40.3694,40.44
