,return,iv,ive,rv,realiv
2022-03-02,,45.0622,37.4288,54.01,43.05495480162525
2022-03-31,,37.4288,42.7852,35.54,33.63388656496441
2022-04-29,,42.7852,43.4393,65.13,39.50818389985667
2022-05-30,,43.4393,43.6928,42.51,38.12085544913093
2022-06-28,,43.6928,43.4597,43.03,38.40947288786367
2022-07-27,,43.4597,42.9381,38.25,38.14409993398107
2022-08-25,,42.9381,44.4652,42.82,37.548731899939504
2022-09-23,,44.4652,46.8251,42.94,38.59787111900643
2022-10-24,,46.8251,42.3019,64.91,41.29445040062199
2022-11-22,,42.3019,40.0034,51.39,36.08451728220055
2022-12-21,,40.0034,36.8059,22.43,33.00362541969117
2023-01-19,,36.8059,35.8937,23.34,29.04550832905641
2023-02-17,,35.8937,35.6239,29.77,27.880548398001167
2023-03-20,,35.6239,32.5992,23.24,29.41157501796686
2023-04-18,,32.5992,34.7723,28.42,25.664885241658357
2023-05-17,,34.7723,29.2284,32.04,28.3741315482517
2023-06-15,,29.2284,28.4778,22.08,24.97224517216814
2023-07-14,,28.4778,30.9334,19.65,24.089390926689592
2023-08-14,,30.9334,29.2564,29.89,26.94789227265975
2023-09-12,,29.2564,31.5181,21.19,25.51346509380631
2023-10-11,,31.5181,34.3882,24.96,28.07829388945976
2023-11-09,,34.3882,29.7588,31.1,31.26576817180209
2023-12-08,,29.7588,29.0607,29.56,26.4648319874768
2024-01-08,,29.0607,30.9232,25.96,25.677333178805288
2024-02-06,,30.9232,29.685,29.36,27.76770521532838
2024-03-06,,29.685,29.8776,24.09,26.363380324108405
2024-04-04,,29.8776,30.3505,25.97,26.580059798156707
2024-05-03,,30.3505,28.9206,51.36,27.110541259141
2024-06-03,,28.9206,29.4345,29.02,25.721397393754625
2024-07-02,,29.4345,31.2902,20.78,26.297889074552117
2024-07-31,,31.2902,30.1956,54.82,28.359580313669085
