,return,iv,ive,rv,realiv
2022-02-01,,15.2938,15.7587,13.19,14.838245561896734
2022-03-02,,15.7587,14.9187,20.15,15.237349783692112
2022-03-31,,14.9187,19.2081,19.63,14.3668998893492
2022-04-29,,19.2081,16.998,16.67,18.78273963910968
2022-05-30,,16.998,19.77,26.44,16.335571455279258
2022-06-28,,19.77,20.3892,12.86,19.20343174462665
2022-07-27,,20.3892,17.2213,13.15,19.840321756729008
2022-08-25,,17.2213,19.6069,23.12,16.532175512620572
2022-09-23,,19.6069,26.3455,37.8,19.00447792232376
2022-10-24,,26.3455,19.3535,18.25,25.900290031968588
2022-11-22,,19.3535,17.6569,13.13,18.803042446190737
2022-12-21,,17.6569,17.5634,17.36,17.051761216755605
2023-01-19,,17.5634,16.1585,15.52,16.95492443342791
2023-02-17,,16.1585,17.3213,13.53,15.385511414469017
2023-03-20,,17.3213,15.2995,16.14,16.602538147065236
2023-04-18,,15.2995,14.5949,9.36,14.480729936186105
2023-05-17,,14.5949,15.2693,11.45,14.13954939785367
2023-06-15,,15.2693,12.5787,13.3,14.834664595276298
2023-07-14,,12.5787,14.8146,13.88,12.047383319806176
2023-08-14,,14.8146,15.95,16.0,14.082834360498016
2023-09-12,,15.95,17.9446,21.88,15.272732252783834
2023-10-11,,17.9446,17.2665,23.2,17.345389001842065
2023-11-09,,17.2665,16.9491,13.5,16.63926188053764
2023-12-08,,16.9491,16.9323,17.63,16.30965985203594
2024-01-08,,16.9323,15.7461,18.72,16.292200494994926
2024-02-06,,15.7461,16.7753,20.69,15.055652722121112
2024-03-06,,16.7753,18.284,17.71,16.296027835847774
2024-04-04,,18.284,19.155,15.42,17.84529319279247
2024-05-03,,19.155,16.6458,13.92,18.531150744669205
2024-06-03,,16.6458,18.8043,15.4,15.923949904519732
2024-07-02,,18.8043,18.5445,13.62,18.16841273781653
2024-07-31,,18.5445,16.9797,14.45,17.899385552908065
