,return,iv,ive,rv,realiv
2022-02-01,,32.8503,35.3217,40.06,32.17111969689988
2022-03-02,,35.3217,31.6414,35.82,34.7120072905967
2022-03-31,,31.6414,36.6484,32.49,30.959314482275587
2022-04-29,,36.6484,33.8749,41.46,36.06114504300216
2022-05-30,,33.8749,35.8649,40.86,33.15162705331642
2022-06-28,,35.8649,33.5216,28.03,35.18256071240666
2022-07-27,,33.5216,31.0133,28.86,32.790535110488534
2022-08-25,,31.0133,33.4786,35.48,30.23676429849643
2022-09-23,,33.4786,37.1934,42.64,32.760552442118986
2022-10-24,,37.1934,33.2315,56.3,36.54840819943911
2022-11-22,,33.2315,33.3725,28.22,32.44074603264788
2022-12-21,,33.3725,30.6377,31.81,32.58516790128232
2023-01-19,,30.6377,28.8542,31.98,29.77814756150488
2023-02-17,,28.8542,34.0889,28.46,27.85721064260541
2023-03-20,,34.0889,27.8972,20.68,33.24924706450491
2023-04-18,,27.8972,28.826,24.81,26.864718405121764
2023-05-17,,28.826,26.0219,23.6,27.92946144903474
2023-06-15,,26.0219,25.5986,30.01,25.025103804842004
2023-07-14,,25.5986,25.0391,22.37,24.584646891772067
2023-08-14,,25.0391,25.5165,22.56,23.84157748184765
2023-09-12,,25.5165,29.1334,23.13,24.34247440715395
2023-10-11,,29.1334,28.2934,30.21,28.110839254155064
2023-11-09,,28.2934,26.3944,31.9,27.37203633174934
2023-12-08,,26.3944,26.0935,34.46,25.40425635098587
2024-01-08,,26.0935,25.8625,25.44,25.09148524174298
2024-02-06,,25.8625,26.2079,30.18,24.805166759160137
2024-03-06,,26.2079,26.3147,23.06,25.165083232720352
2024-04-04,,26.3147,25.4161,34.44,25.276289834343626
2024-05-03,,25.4161,25.7686,22.75,24.419157347323644
2024-06-03,,25.7686,25.6734,17.85,24.785839753846357
2024-07-02,,25.6734,26.6202,25.09,24.68685022240282
2024-07-31,,26.6202,33.8595,56.51,25.65165897206401
