,return,iv,ive,rv,realiv
2022-03-02,,32.1847,30.3185,37.12,31.405637980171747
2022-03-31,,30.3185,35.7104,41.55,29.49017845150493
2022-04-29,,35.7104,33.2697,38.67,35.00988219077017
2022-05-30,,33.2697,34.6792,45.4,32.51664375272463
2022-06-28,,34.6792,34.4125,35.7,33.95741591304625
2022-07-27,,34.4125,31.8343,31.91,33.685001693655984
2022-08-25,,31.8343,37.9992,43.11,31.12296768926088
2022-09-23,,37.9992,38.2244,37.11,37.40528922407601
2022-10-24,,38.2244,36.2476,53.42,37.63404332059972
2022-11-22,,36.2476,34.1464,24.71,35.62449953412366
2022-12-21,,34.1464,30.3215,25.91,33.48422157161156
2023-01-19,,30.3215,28.2143,19.15,29.57380299431875
2023-02-17,,28.2143,32.4159,35.41,27.40918068433963
2023-03-20,,32.4159,28.5663,27.61,31.82130061915138
2023-04-18,,28.5663,29.3062,33.06,27.889748940684356
2023-05-17,,29.3062,27.2515,32.67,28.64712828058694
2023-06-15,,27.2515,26.7813,28.58,26.541455358258037
2023-07-14,,26.7813,28.5475,25.17,26.05844642288569
2023-08-14,,28.5475,26.6122,26.37,27.870492577893277
2023-09-12,,26.6122,28.8189,27.68,26.10080975443613
2023-10-11,,28.8189,28.1965,23.09,28.34734693418889
2023-11-09,,28.1965,26.1787,23.63,27.714358972331805
2023-12-08,,26.1787,25.7006,21.0,25.658671335189364
2024-01-08,,25.7006,25.3826,21.47,25.17069568679556
2024-02-06,,25.3826,24.8844,22.68,24.845914427874625
2024-03-06,,24.8844,25.4706,20.13,24.5079540301135
2024-04-04,,25.4706,25.1857,28.17,25.10294627612776
2024-05-03,,25.1857,24.8341,25.23,24.81382541794305
2024-06-03,,24.8341,24.9088,19.81,24.45687981309465
2024-07-02,,24.9088,24.5717,22.06,24.53272844226986
2024-07-31,,24.5717,24.2673,24.09,24.190388344798365
