,return,iv,ive,rv,realiv
2022-03-02,,77.9499,93.5845,209.82,76.06947695927695
2022-03-31,,93.5845,98.0799,113.1,91.7373090203393
2022-04-29,,98.0799,87.1182,88.54,96.3189597641774
2022-05-30,,87.1182,86.6893,102.34,85.13081696590973
2022-06-28,,86.6893,78.8707,75.63,84.5206774279423
2022-07-27,,78.8707,72.0797,56.58,76.48070015944072
2022-08-25,,72.0797,77.0901,97.75,69.45641317026295
2022-09-23,,77.0901,102.3157,105.11,74.64995032690312
2022-10-24,,102.3157,99.7553,147.24,100.48996980937504
2022-11-22,,99.7553,99.4898,125.2,97.88182386883229
2022-12-21,,99.4898,79.784,82.23,97.3523814409796
2023-01-19,,79.784,75.6728,59.75,77.10222126625142
2023-02-17,,75.6728,73.9875,76.06,72.83981416800835
2023-03-20,,73.9875,67.9008,59.87,70.93508998331434
2023-04-18,,67.9008,67.9546,52.71,64.56125366913892
2023-05-17,,67.9546,67.9082,50.64,64.61783419343999
2023-06-15,,67.9082,66.9962,64.54,65.72431440611288
2023-07-14,,66.9962,69.9737,86.11,64.78157678965201
2023-08-14,,69.9737,63.2842,55.7,67.85632298175004
2023-09-12,,63.2842,63.4861,41.42,60.63534523492432
2023-10-11,,63.4861,60.9263,51.51,60.84603532957969
2023-11-09,,60.9263,59.8633,60.74,58.17017409126828
2023-12-08,,59.8633,62.6971,56.98,57.41814448384436
2024-01-08,,62.6971,68.6509,64.84,60.3668367358074
2024-02-06,,68.6509,75.9892,64.26,66.52950247737934
2024-03-06,,75.9892,67.2282,72.55,74.07825015291347
2024-04-04,,67.2282,73.6722,83.28,64.71630505958997
2024-05-03,,73.6722,66.7249,72.76,71.38741008165172
2024-06-03,,66.7249,68.1997,62.4,62.7540569573703
2024-07-02,,68.1997,64.8135,46.35,64.31996940833287
2024-07-31,,64.8135,61.1447,77.82,60.717782953998544
