,return,iv,ive,rv,realiv
2022-08-25,,23.1245,24.8023,26.84,22.67204873027353
2022-09-23,,24.8023,25.4833,22.29,24.381004463883304
2022-10-24,,25.4833,22.8531,25.26,25.07344954863406
2022-11-22,,22.8531,21.8241,16.14,22.395166286230108
2022-12-21,,21.8241,20.8312,18.6,21.34410068819714
2023-01-19,,20.8312,18.2291,16.43,20.3277688598109
2023-02-17,,18.2291,22.0404,16.05,17.629571686388704
2023-03-20,,22.0404,18.1206,16.16,21.547179471929
2023-04-18,,18.1206,19.7221,19.44,17.517358687756506
2023-05-17,,19.7221,19.1704,21.44,19.16932287394415
2023-06-15,,19.1704,17.1468,14.03,18.60123509865725
2023-07-14,,17.1468,17.675,12.18,16.50801203281359
2023-08-14,,17.675,16.4173,14.38,16.991206172088578
2023-09-12,,16.4173,19.5092,19.17,15.678749997127357
2023-10-11,,19.5092,19.3931,23.03,18.89191220661426
2023-11-09,,19.3931,19.0944,34.13,18.771994827199933
2023-12-08,,19.0944,19.2108,17.07,18.463249268274016
2024-01-08,,19.2108,18.727,14.5,18.583602955896925
2024-02-06,,18.727,19.6094,27.28,18.083030475626064
2024-03-06,,19.6094,19.2327,15.64,19.06794804226464
2024-04-04,,19.2327,17.992,13.82,18.68033253110083
2024-05-03,,17.992,17.2264,15.3,17.400291324644652
2024-06-03,,17.2264,17.0225,12.51,16.607436019521614
2024-07-02,,17.0225,16.1538,19.33,16.395840339320944
2024-07-31,,16.1538,15.7116,18.04,15.3651450370814
