,return,iv,ive,rv,realiv
2022-04-29,,30.1022,28.3307,23.7,30.1022
2022-05-30,,28.3307,27.8423,21.7,28.3307
2022-06-28,,27.8423,22.8005,16.61,27.8423
2022-07-27,,22.8005,21.0418,15.38,22.8005
2022-08-25,,21.0418,24.8133,20.06,21.0418
2022-09-23,,24.8133,25.6427,30.75,24.8133
2022-10-24,,25.6427,22.2581,20.01,25.6427
2022-11-22,,22.2581,21.6019,19.92,22.2581
2022-12-21,,21.6019,23.5165,21.12,21.6019
2023-01-19,,23.5165,22.4395,14.66,23.5165
2023-02-17,,22.4395,30.606,27.75,22.4395
2023-03-20,,30.606,29.1423,31.36,30.606
2023-04-18,,29.1423,29.5137,35.6,29.1423
2023-05-17,,29.5137,31.1916,37.7,29.35533895071274
2023-06-15,,31.1916,29.8581,27.98,31.0418000087178
2023-07-14,,29.8581,26.1111,27.24,29.701575258414028
2023-08-14,,26.1111,26.23,21.56,25.525296225736543
2023-09-12,,26.23,28.3453,19.9,25.646912176743623
2023-10-11,,28.3453,29.2991,35.04,27.80660418482632
2023-11-09,,29.2991,27.258,35.22,28.21815376842691
2023-12-08,,27.258,26.4877,24.7,26.092633161269596
2024-01-08,,26.4877,30.4418,24.1,25.286858100178947
2024-02-06,,30.4418,26.2519,22.8,28.6479651977701
2024-03-06,,26.2519,26.3741,19.14,24.148809004641343
2024-04-04,,26.3741,22.8631,21.71,24.281595366504373
2024-05-03,,22.8631,23.8207,14.63,20.118485661002502
2024-06-03,,23.8207,24.1782,14.87,21.200421509299368
2024-07-02,,24.1782,21.7977,20.69,21.60133048962409
2024-07-31,,21.7977,24.7844,22.52,19.870224893150056
