,return,iv,ive,rv,realiv
2022-04-29,,27.9647,24.4773,22.51,27.76153738412297
2022-05-30,,24.4773,27.2979,27.83,24.24493198856324
2022-06-28,,27.2979,25.3117,21.17,27.0897371019
2022-07-27,,25.3117,23.3247,17.33,25.04342416964072
2022-08-25,,23.3247,27.7243,20.66,23.033292585745205
2022-09-23,,27.7243,27.0842,34.18,27.47958783789424
2022-10-24,,27.0842,23.4317,20.09,26.83365101678385
2022-11-22,,23.4317,22.797,14.91,23.022347627507425
2022-12-21,,22.797,21.8981,18.51,22.376039291880875
2023-01-19,,21.8981,21.2032,27.26,21.459513251744475
2023-02-17,,21.2032,28.5361,25.36,20.440553644536227
2023-03-20,,28.5361,22.7328,21.0,27.974087049717337
2023-04-18,,22.7328,22.9232,14.16,22.023186392871565
2023-05-17,,22.9232,20.8031,18.36,22.21585508025261
2023-06-15,,20.8031,19.8804,21.52,20.020991192165926
2023-07-14,,19.8804,20.6043,28.27,19.060467540613622
2023-08-14,,20.6043,19.3308,12.88,19.72851199518174
2023-09-12,,19.3308,20.3162,12.93,18.394478402336663
2023-10-11,,20.3162,20.2774,21.91,19.427428792663992
2023-11-09,,20.2774,19.4062,14.27,19.40163261047697
2023-12-08,,19.4062,18.8497,12.12,18.48921295328504
2024-01-08,,18.8497,18.1254,13.96,17.90423378092241
2024-02-06,,18.1254,18.6058,10.83,17.05275752525583
2024-03-06,,18.6058,19.0806,12.83,17.5625228169295
2024-04-04,,19.0806,17.7164,17.27,18.064764333230848
2024-05-03,,17.7164,18.4906,27.92,16.49147803625074
2024-06-03,,18.4906,18.9199,16.32,17.320516944368045
2024-07-02,,18.9199,19.8094,20.11,17.778094241794886
2024-07-31,,19.8094,19.8216,13.17,18.76022242827055
