,return,iv,ive,rv,realiv
2022-02-01,,30.531,32.0713,38.8,29.357273559624826
2022-03-02,,32.0713,29.5191,27.4,31.06384638296348
2022-03-31,,29.5191,32.8189,31.4,28.42132180642472
2022-04-29,,32.8189,32.804,38.36,31.835113720926977
2022-05-30,,32.804,33.479,37.26,31.751173074467285
2022-06-28,,33.479,29.7408,26.88,32.44808186325928
2022-07-27,,29.7408,27.7599,23.83,28.57533482296885
2022-08-25,,27.7599,31.5252,27.9,26.675859357584347
2022-09-23,,31.5252,32.4882,34.65,30.57495150438706
2022-10-24,,32.4882,27.8267,32.25,31.566953665116632
2022-11-22,,27.8267,28.1147,25.32,26.910353590747008
2022-12-21,,28.1147,25.3929,22.54,27.208054939282786
2023-01-19,,25.3929,24.0493,20.65,24.38526743546256
2023-02-17,,24.0493,26.8006,26.59,23.16677080453537
2023-03-20,,26.8006,24.9113,22.79,26.01158586822173
2023-04-18,,24.9113,25.2869,52.05,24.060409529138788
2023-05-17,,25.2869,21.9744,24.57,24.527268883944014
2023-06-15,,21.9744,21.2711,14.45,21.095825716365983
2023-07-14,,21.2711,20.7725,23.01,20.36220279108546
2023-08-14,,20.7725,20.3463,14.96,19.78913925753558
2023-09-12,,20.3463,21.8345,18.86,19.341282273782568
2023-10-11,,21.8345,21.4074,20.55,20.901164239202934
2023-11-09,,21.4074,20.4384,15.94,20.50952497248317
2023-12-08,,20.4384,20.0807,17.98,19.495949179173373
2024-01-08,,20.0807,21.2956,16.94,19.120626358122028
2024-02-06,,21.2956,20.982,20.17,20.392803122594767
2024-03-06,,20.982,21.9883,14.39,19.80260664399032
2024-04-04,,21.9883,21.3164,45.29,20.86586309709257
2024-05-03,,21.3164,21.5,19.04,20.025991583416552
2024-06-03,,21.5,21.8533,18.72,20.221311281394943
2024-07-02,,21.8533,23.4579,31.05,20.59655677119529
2024-07-31,,23.4579,24.5027,20.82,22.29180347906087
