,return,iv,ive,rv,realiv
2022-11-22,,38.436,37.7879,24.9,37.22587403259495
2022-12-21,,37.7879,35.6769,27.2,36.55632623637976
2023-01-19,,35.6769,33.1734,31.99,34.36976571204156
2023-02-17,,33.1734,36.4391,33.83,32.06243732880308
2023-03-20,,36.4391,33.9597,20.73,35.43068484680229
2023-04-18,,33.9597,30.2355,18.21,32.87531967895408
2023-05-17,,30.2355,27.7063,26.46,28.484121970732943
2023-06-15,,27.7063,24.7086,16.39,25.783692595972195
2023-07-14,,24.7086,25.0085,26.19,22.531636828104425
2023-08-14,,25.0085,24.1795,19.0,23.56696573765284
2023-09-12,,24.1795,28.7603,28.26,22.68534818070251
2023-10-11,,28.7603,27.6149,34.16,27.516025474615745
2023-11-09,,27.6149,29.823,29.31,26.76476401230525
2023-12-08,,29.823,28.5594,27.37,29.037582881920287
2024-01-08,,28.5594,30.7036,31.89,27.73822667339046
2024-02-06,,30.7036,34.5745,67.36,29.94129161516567
2024-03-06,,34.5745,37.2779,34.23,33.64294501504939
2024-04-04,,37.2779,41.3273,32.31,36.415567103172194
2024-05-03,,41.3273,40.5637,43.93,40.55117044335017
2024-06-03,,40.5637,43.5055,49.27,39.58861226458158
2024-07-02,,43.5055,45.1005,64.45,42.59780503259973
2024-07-31,,45.1005,41.222,45.13,44.22555328761166
