,return,iv,ive,rv,realiv
2022-03-02,,46.003,50.8746,59.09,45.13512181091337
2022-03-31,,50.8746,56.6939,38.04,50.09119819934424
2022-04-29,,56.6939,50.2166,59.79,55.99197718509311
2022-05-30,,50.2166,52.5146,57.08,49.18342409086673
2022-06-28,,52.5146,48.1392,42.47,51.527521800510165
2022-07-27,,48.1392,47.0368,33.17,47.06043844230577
2022-08-25,,47.0368,50.3249,55.05,45.80373692225207
2022-09-23,,50.3249,51.6322,57.73,49.17435634365616
2022-10-24,,51.6322,47.1482,49.83,50.51144265058044
2022-11-22,,47.1482,45.7929,41.25,45.93179643300834
2022-12-21,,45.7929,39.8409,32.41,44.53949764796767
2023-01-19,,39.8409,38.6438,31.65,38.393677515097686
2023-02-17,,38.6438,40.7958,35.84,37.24156500019026
2023-03-20,,40.7958,37.8665,36.71,39.47009225810597
2023-04-18,,37.8665,39.3408,31.42,36.43436163120464
2023-05-17,,39.3408,37.5952,35.53,38.34035852550358
2023-06-15,,37.5952,35.2086,33.22,36.54700548969991
2023-07-14,,35.2086,35.124,27.37,34.08709522948758
2023-08-14,,35.124,32.7478,31.69,34.09436826130825
2023-09-12,,32.7478,35.5413,33.89,31.64093829167686
2023-10-11,,35.5413,33.4621,26.94,34.52411587322264
2023-11-09,,33.4621,31.7026,28.59,32.47935172007815
2023-12-08,,31.7026,31.5387,27.85,30.66351249460087
2024-01-08,,31.5387,30.653,18.54,30.49402809463754
2024-02-06,,30.653,29.7522,23.67,29.57706139471167
2024-03-06,,29.7522,31.0525,24.35,28.57906784714441
2024-04-04,,31.0525,28.0811,35.18,29.9303770511112
2024-05-03,,28.0811,28.8803,26.35,26.919516415284424
2024-06-03,,28.8803,29.2424,30.72,27.752187569861363
2024-07-02,,29.2424,30.3001,24.85,28.12881342294352
2024-07-31,,30.3001,26.9275,34.02,29.22684120517932
