,return,iv,ive,rv,realiv
2022-04-29,,22.311,23.5614,24.9,21.678086913418458
2022-05-30,,23.5614,23.3431,20.31,22.84880990948724
2022-06-28,,23.3431,21.5094,17.63,22.62363502909916
2022-07-27,,21.5094,20.7163,17.06,20.726380115203003
2022-08-25,,20.7163,23.1968,19.44,19.90588246031685
2022-09-23,,23.1968,24.6105,23.79,22.476000557793864
2022-10-24,,24.6105,20.3704,15.88,23.93231666771836
2022-11-22,,20.3704,18.7875,14.25,19.442824016404703
2022-12-21,,18.7875,19.0715,18.27,17.77752417584866
2023-01-19,,19.0715,17.2465,24.76,18.077398093278894
2023-02-17,,17.2465,19.321,17.14,16.098734386490147
2023-03-20,,19.321,17.1668,13.53,18.30378451568856
2023-04-18,,17.1668,17.2676,15.27,16.01332285432228
2023-05-17,,17.2676,15.8672,15.58,16.238541171694514
2023-06-15,,15.8672,15.1629,13.32,14.740700304423052
2023-07-14,,15.1629,16.3531,14.62,13.97976201638704
2023-08-14,,16.3531,16.873,14.16,15.25910247048769
2023-09-12,,16.873,20.2252,11.91,15.815007353613325
2023-10-11,,20.2252,17.3589,18.97,19.351357669033032
2023-11-09,,17.3589,15.7777,12.64,16.325157462258957
2023-12-08,,15.7777,16.4357,18.5,14.632674883545706
2024-01-08,,16.4357,15.4688,16.4,15.339869342584027
2024-02-06,,15.4688,16.5908,8.17,14.355519326730228
2024-03-06,,16.5908,16.8332,10.46,15.558014215835035
2024-04-04,,16.8332,15.2878,12.95,15.816250628392469
2024-05-03,,15.2878,15.102,12.96,14.1417278278978
2024-06-03,,15.102,15.6681,14.1,13.940661430446513
2024-07-02,,15.6681,16.236,16.76,14.552009989288043
2024-07-31,,16.236,17.3196,15.69,15.138496716884225
