,return,iv,ive,rv,realiv
2022-04-29,,38.2882,37.9585,45.19,35.28527773620712
2022-05-30,,37.9585,38.5342,45.83,34.927242775966064
2022-06-28,,38.5342,35.2215,56.53,35.55206232163295
2022-07-27,,35.2215,34.3832,21.95,32.145884931398726
2022-08-25,,34.3832,37.1168,28.3,31.225122866255106
2022-09-23,,37.1168,39.6855,25.41,34.211996404956075
2022-10-24,,39.6855,33.8031,42.13,36.98300644921566
2022-11-22,,33.8031,34.8694,31.53,30.07946651562596
2022-12-21,,34.8694,32.3789,26.94,31.272988226497688
2023-01-19,,32.3789,28.7315,32.02,28.46959608889215
2023-02-17,,28.7315,31.4457,21.8,25.50651895464972
2023-03-20,,31.4457,29.1661,17.9,28.529203729229906
2023-04-18,,29.1661,27.5572,43.93,25.99509196259758
2023-05-17,,27.5572,26.4948,14.75,24.76829951598802
2023-06-15,,26.4948,26.3934,16.5,23.58058133536348
2023-07-14,,26.3934,25.7427,41.24,23.466592267171904
2023-08-14,,25.7427,26.9792,13.14,22.89974701131788
2023-09-12,,26.9792,29.4976,20.43,24.281454703793223
2023-10-11,,29.4976,26.0153,25.52,27.052175802555364
2023-11-09,,26.0153,25.1712,12.58,23.279619186219858
2023-12-08,,25.1712,26.0238,18.08,22.332356454378377
2024-01-08,,26.0238,26.9007,17.0,23.289117669104936
2024-02-06,,26.9007,25.7265,28.0,24.26504679277202
2024-03-06,,25.7265,27.8572,18.81,22.859735410140757
2024-04-04,,27.8572,25.4804,26.86,25.23367378349104
2024-05-03,,25.4804,25.7072,17.49,22.44592456048604
2024-06-03,,25.7072,31.5345,37.53,22.70305875989028
2024-07-02,,31.5345,33.4418,38.75,29.137491921320727
2024-07-31,,33.4418,33.3974,40.81,30.251269495426463
