,return,iv,ive,rv,realiv
2022-02-01,,22.9575,23.8043,23.85,22.491570082548087
2022-03-02,,23.8043,21.4815,17.75,23.48279998739154
2022-03-31,,21.4815,24.6754,18.86,21.124678435607866
2022-04-29,,24.6754,22.6959,19.37,24.365396814290467
2022-05-30,,22.6959,24.9278,30.79,22.303169528519177
2022-06-28,,24.9278,24.0025,23.78,24.57076936214791
2022-07-27,,24.0025,22.1451,16.6,23.631493826202917
2022-08-25,,22.1451,24.6926,20.14,21.8323019993066
2022-09-23,,24.6926,27.7509,38.22,24.412465081161443
2022-10-24,,27.7509,24.6525,24.82,27.501934611749167
2022-11-22,,24.6525,23.08,18.01,24.255918562736383
2022-12-21,,23.08,21.3264,22.5,22.65590936316835
2023-01-19,,21.3264,21.1695,15.83,20.866699931520063
2023-02-17,,21.1695,23.9419,21.33,20.706316894177476
2023-03-20,,23.9419,22.4167,24.63,23.41620089950208
2023-04-18,,22.4167,22.3452,17.05,21.85434345492543
2023-05-17,,22.3452,19.8473,11.49,21.75668488443378
2023-06-15,,19.8473,18.5035,17.17,19.182301514952517
2023-07-14,,18.5035,20.3081,18.72,17.788335682984773
2023-08-14,,20.3081,18.2702,14.01,19.69016014296628
2023-09-12,,18.2702,22.1875,24.61,17.58077611727246
2023-10-11,,22.1875,20.2228,18.07,21.62333547572293
2023-11-09,,20.2228,20.3688,18.05,19.72375285321146
2023-12-08,,20.3688,19.2534,21.34,19.873419439406177
2024-01-08,,19.2534,19.4209,18.52,18.7285396743731
2024-02-06,,19.4209,20.6201,16.89,18.90069161656703
2024-03-06,,20.6201,20.1501,17.3,20.283507383814054
2024-04-04,,20.1501,18.6147,18.5,19.805521396551
2024-05-03,,18.6147,17.5357,16.43,18.310885625624152
2024-06-03,,17.5357,17.6546,16.23,17.212851326688707
2024-07-02,,17.6546,19.317,30.61,17.33396600506327
2024-07-31,,19.317,19.2694,27.47,19.03282433740329
