,return,iv,ive,rv,realiv
2022-02-01,,39.0335,40.1061,35.24,38.48590424247704
2022-03-02,,40.1061,38.9149,37.86,39.573349116812345
2022-03-31,,38.9149,40.6079,35.0,38.4266147923445
2022-04-29,,40.6079,39.2131,46.5,40.14021455846031
2022-05-30,,39.2131,43.1009,55.72,38.7724614226382
2022-06-28,,43.1009,43.4489,46.88,42.700399693328016
2022-07-27,,43.4489,39.5347,32.5,43.05163718570953
2022-08-25,,39.5347,43.1259,44.19,39.17707105178109
2022-09-23,,43.1259,42.8925,49.14,42.79829018683228
2022-10-24,,42.8925,37.7184,25.95,42.56309373572724
2022-11-22,,37.7184,36.371,30.24,37.39294285976098
2022-12-21,,36.371,33.2307,40.97,36.03337505914967
2023-01-19,,33.2307,32.4915,32.89,32.86082621668769
2023-02-17,,32.4915,35.661,37.92,32.11311335581384
2023-03-20,,35.661,30.6607,33.0,35.479541011716805
2023-04-18,,30.6607,31.9879,33.97,30.44945703772227
2023-05-17,,31.9879,30.6785,24.85,31.809342637417277
2023-06-15,,30.6785,28.6169,29.36,30.49227598695467
2023-07-14,,28.6169,28.0149,21.28,28.417169074779643
2023-08-14,,28.0149,25.9996,23.07,27.83679467867516
2023-09-12,,25.9996,29.2534,34.36,25.807590281402053
2023-10-11,,29.2534,28.6297,29.01,29.082880316996075
2023-11-09,,28.6297,29.6126,33.79,28.50929542338917
2023-12-08,,29.6126,29.3948,30.14,29.49620792929285
2024-01-08,,29.3948,28.3009,24.47,29.277542084131287
2024-02-06,,28.3009,28.3715,33.47,28.179090550585173
2024-03-06,,28.3715,26.8331,17.64,28.07697498713873
2024-04-04,,26.8331,25.8624,19.23,26.521496333887608
2024-05-03,,25.8624,24.9637,25.2,25.44872635695476
2024-06-03,,24.9637,25.8027,28.84,24.53487837999537
2024-07-02,,25.8027,25.4835,25.33,25.388053622150007
2024-07-31,,25.4835,25.0812,28.22,25.06357340207425
