,return,iv,ive,rv
2022-01-19,,47.7349,49.2111,37.65
2022-02-17,,49.2111,48.0262,33.54
2022-03-18,,48.0262,47.4444,40.73
2022-04-18,,47.4444,49.8491,50.6
2022-05-17,,49.8491,51.0545,53.96
2022-06-15,,51.0545,54.2304,63.83
2022-07-14,,54.2304,49.5747,54.73
2022-08-12,,49.5747,51.1178,35.39
2022-09-12,,51.1178,52.2917,53.21
2022-10-11,,52.2917,49.6654,46.83
2022-11-09,,49.6654,48.1156,40.31
2022-12-08,,48.1156,45.344,39.3
2023-01-06,,45.344,40.2552,31.56
2023-02-06,,40.2552,39.0783,41.85
2023-03-07,,39.0783,40.3077,32.33
2023-04-05,,40.3077,38.2918,28.57
2023-05-04,,38.2918,36.9297,29.81
2023-06-02,,36.9297,33.6164,27.42
2023-07-03,,33.6164,30.5564,26.96
2023-08-01,,30.5564,31.9157,21.87
2023-08-30,,31.9157,32.2501,23.47
2023-09-28,,32.2501,34.9868,27.98
2023-10-27,,34.9868,31.8652,25.12
2023-11-27,,31.8652,32.367,25.3
2023-12-26,,32.367,31.6214,20.62
2024-01-24,,31.6214,31.0573,35.13
2024-02-22,,31.0573,29.4246,21.19
2024-03-22,,29.4246,30.5108,18.6
2024-04-22,,30.5108,28.0143,23.0
2024-05-21,,28.0143,29.341,26.64
2024-06-19,,29.341,29.1247,20.51
2024-07-18,,29.1247,28.2283,34.68
