,return,iv,ive,rv,realiv
2022-04-29,,39.0668,36.8945,47.64,37.78782254403984
2022-05-30,,36.8945,41.2301,49.24,35.53742816566564
2022-06-28,,41.2301,37.9231,36.83,40.02031754484021
2022-07-27,,37.9231,35.6147,32.97,36.516198220870905
2022-08-25,,35.6147,41.0035,41.94,34.11272599757949
2022-09-23,,41.0035,42.1939,40.39,39.7058966797872
2022-10-24,,42.1939,38.953,63.46,40.934049593290126
2022-11-22,,38.953,39.4372,33.17,37.30860108168335
2022-12-21,,39.4372,36.3267,31.21,37.81386319211756
2023-01-19,,36.3267,34.1311,49.18,34.5575554482979
2023-02-17,,34.1311,43.5695,35.9,32.172730747748005
2023-03-20,,43.5695,36.8553,31.18,42.05298974873356
2023-04-18,,36.8553,35.6662,35.48,35.04947581130265
2023-05-17,,35.6662,32.9451,35.69,33.83526286884105
2023-06-15,,32.9451,30.9085,20.94,30.95362345467124
2023-07-14,,30.9085,31.4926,24.47,28.776423739123207
2023-08-14,,31.4926,29.9897,21.95,29.53103305398433
2023-09-12,,29.9897,32.8209,22.8,27.922753527643284
2023-10-11,,32.8209,30.9173,41.42,30.943650968906617
2023-11-09,,30.9173,29.1111,22.21,29.07555273120925
2023-12-08,,29.1111,29.2474,25.97,27.147089540967915
2024-01-08,,29.2474,28.1339,25.26,27.293199411123084
2024-02-06,,28.1339,29.3201,18.02,26.20119066127018
2024-03-06,,29.3201,30.5725,25.54,27.470972441255725
2024-04-04,,30.5725,28.2922,22.6,28.80388548630604
2024-05-03,,28.2922,26.6402,12.83,26.81894003501913
2024-06-03,,26.6402,27.3024,27.82,25.070046266450163
2024-07-02,,27.3024,27.103,24.71,25.772621316465884
2024-07-31,,27.103,28.3286,34.86,25.625840038669523
