,return,iv,ive,rv,realiv
2022-03-02,,29.2258,25.2206,36.84,27.59590401926821
2022-03-31,,25.2206,32.3981,32.89,23.38985120367303
2022-04-29,,32.3981,31.7298,40.85,30.99424718524334
2022-05-30,,31.7298,31.054,34.66,30.29499435566814
2022-06-28,,31.054,29.8431,27.77,29.610322567765923
2022-07-27,,29.8431,29.9915,22.76,28.33779991772735
2022-08-25,,29.9915,32.5355,37.76,28.494040759729884
2022-09-23,,32.5355,34.9428,32.72,31.11761472815303
2022-10-24,,34.9428,30.4237,51.18,33.62657368748363
2022-11-22,,30.4237,31.035,32.31,28.902399689468112
2022-12-21,,31.035,27.1063,20.99,29.60150213542886
2023-01-19,,27.1063,27.5457,23.72,25.45248913886025
2023-02-17,,27.5457,27.8184,35.59,25.919940049386675
2023-03-20,,27.8184,25.5623,20.36,26.20090913497913
2023-04-18,,25.5623,24.8015,13.56,23.791919683569738
2023-05-17,,24.8015,23.3525,24.72,22.97256326989727
2023-06-15,,23.3525,20.9569,14.22,21.36949533690112
2023-07-14,,20.9569,22.1313,11.7,18.72185173303748
2023-08-14,,22.1313,21.3179,20.93,20.027743617138665
2023-09-12,,21.3179,26.8857,21.17,19.2012859143235
2023-10-11,,26.8857,27.3779,27.09,25.240391931259666
2023-11-09,,27.3779,23.698,22.6,25.76404333103789
2023-12-08,,23.698,22.9327,28.04,21.73045720449833
2024-01-08,,22.9327,23.4304,22.73,20.893211711140378
2024-02-06,,23.4304,25.4116,37.33,21.43831174501699
2024-03-06,,25.4116,23.4344,13.23,23.51845003983417
2024-04-04,,23.4344,24.7388,19.52,21.36677750799535
2024-05-03,,24.7388,25.3866,29.95,22.789828940915204
2024-06-03,,25.3866,24.6002,14.03,23.455601870231117
2024-07-02,,24.6002,26.3278,20.5,22.602115820754243
2024-07-31,,26.3278,24.1086,43.22,24.47118412285742
