,return,iv,ive,rv,realiv
2022-03-02,,25.894,22.4403,31.53,24.09448315195861
2022-03-31,,22.4403,26.092,19.21,19.80614534621501
2022-04-29,,26.092,27.4712,38.3,23.864383364868125
2022-05-30,,27.4712,24.7732,22.39,25.36499869555279
2022-06-28,,24.7732,24.8242,12.96,22.636501315107456
2022-07-27,,24.8242,24.3612,12.08,22.692303963874217
2022-08-25,,24.3612,26.3926,20.47,22.184855622447976
2022-09-23,,26.3926,26.438,23.01,24.656735867350232
2022-10-24,,26.438,24.3321,23.63,24.705326002145277
2022-11-22,,24.3321,22.461,27.54,22.437387978155467
2022-12-21,,22.461,22.2461,19.37,20.472069544231392
2023-01-19,,22.2461,21.4291,21.65,20.23605879695566
2023-02-17,,21.4291,22.2595,19.09,19.334307260252345
2023-03-20,,22.2595,19.7126,12.83,20.852782739038528
2023-04-18,,19.7126,20.3924,14.79,18.109108384223205
2023-05-17,,20.3924,19.5711,36.91,18.846834892669463
2023-06-15,,19.5711,19.0393,13.69,17.816346375016447
2023-07-14,,19.0393,21.0858,18.07,17.230472641067095
2023-08-14,,21.0858,20.1708,16.0,19.46805600424864
2023-09-12,,20.1708,23.9239,21.65,18.37517371379863
2023-10-11,,23.9239,23.6858,24.61,22.430756286453565
2023-11-09,,23.6858,20.7846,27.71,22.176630898589536
2023-12-08,,20.7846,21.6719,22.91,18.98939052266208
2024-01-08,,21.6719,21.2488,21.66,19.95666818063998
2024-02-06,,21.2488,22.4806,19.54,19.49638060518332
2024-03-06,,22.4806,21.6408,21.68,20.83206018669705
2024-04-04,,21.6408,21.4991,20.48,19.593549716039337
2024-05-03,,21.4991,21.6855,19.13,19.43693048413008
2024-06-03,,21.6855,20.7898,21.34,19.642909053521205
2024-07-02,,20.7898,22.6374,21.11,18.596053242453984
2024-07-31,,22.6374,22.2223,18.77,20.640961482357923
