,return,iv,ive,rv,realiv
2022-04-29,,30.5891,29.7491,30.97,30.254710704289096
2022-05-30,,29.7491,28.8464,34.44,29.40515995195784
2022-06-28,,28.8464,27.4787,24.49,28.49156496140964
2022-07-27,,27.4787,25.2911,18.28,27.10596677265405
2022-08-25,,25.2911,30.5269,31.11,24.90195061143724
2022-09-23,,30.5269,31.3966,36.46,30.205281469545348
2022-10-24,,31.3966,27.4185,25.49,31.083981350600173
2022-11-22,,27.4185,26.988,22.26,27.05996207119403
2022-12-21,,26.988,25.487,26.34,26.62366520681289
2023-01-19,,25.487,24.7314,21.82,25.10088791346751
2023-02-17,,24.7314,27.3328,30.89,24.41584690687243
2023-03-20,,27.3328,23.2453,14.14,27.047613389351604
2023-04-18,,23.2453,22.9069,20.31,22.909286464441276
2023-05-17,,22.9069,22.7796,25.24,22.66094753974143
2023-06-15,,22.7796,21.6884,19.02,22.5322580304086
2023-07-14,,21.6884,22.0814,14.28,21.42846635550275
2023-08-14,,22.0814,21.2685,15.91,21.825371839928348
2023-09-12,,21.2685,23.4206,20.18,21.00256465865865
2023-10-11,,23.4206,22.4228,18.29,23.17936872201522
2023-11-09,,22.4228,21.7857,26.33,21.98143883504874
2023-12-08,,21.7857,20.9989,17.25,21.331160725778357
2024-01-08,,20.9989,19.4402,19.85,20.526945574755853
2024-02-06,,19.4402,20.246,16.54,19.009693069606048
2024-03-06,,20.246,20.5819,19.93,19.832991971980125
2024-04-04,,20.5819,20.2746,31.36,20.175769184113605
2024-05-03,,20.2746,20.7139,21.34,19.80870466184997
2024-06-03,,20.7139,19.7545,16.86,20.25811018901804
2024-07-02,,19.7545,21.1757,23.04,19.27603811654243
2024-07-31,,21.1757,20.0166,22.15,20.697538014426083
