,return,iv,ive,rv,realiv
2022-04-29,,31.4783,29.2802,31.8,30.64785116151603
2022-05-30,,29.2802,29.7255,24.34,28.385516059575867
2022-06-28,,29.7255,27.6589,25.89,28.84463139266022
2022-07-27,,27.6589,26.5043,20.08,26.562112838257047
2022-08-25,,26.5043,31.8726,32.12,25.357622280338116
2022-09-23,,31.8726,32.2249,30.02,30.925615919206844
2022-10-24,,32.2249,28.183,29.31,31.17732342451052
2022-11-22,,28.183,28.0408,24.08,26.97893261243914
2022-12-21,,28.0408,26.6522,21.68,26.830351852827658
2023-01-19,,26.6522,26.0452,27.2,25.37560010613606
2023-02-17,,26.0452,28.3057,23.15,24.52467905305508
2023-03-20,,28.3057,24.5206,20.37,26.913195501563145
2023-04-18,,24.5206,24.5732,20.72,22.8990668800141
2023-05-17,,24.5732,22.19,19.02,23.149882959417727
2023-06-15,,22.19,21.4553,14.34,20.602694551799267
2023-07-14,,21.4553,22.4762,25.45,19.809210506346265
2023-08-14,,22.4762,22.4,19.1,21.065947122668216
2023-09-12,,22.4,23.4573,15.96,20.98462679522925
2023-10-11,,23.4573,22.5389,18.33,22.10971472057144
2023-11-09,,22.5389,20.9923,21.55,21.24860334947468
2023-12-08,,20.9923,20.0753,11.32,19.600453831054693
2024-01-08,,20.0753,18.9668,13.04,18.61501547631123
2024-02-06,,18.9668,20.6451,11.81,17.556845226755733
2024-03-06,,20.6451,21.1167,16.99,19.35777533928565
2024-04-04,,21.1167,20.8498,17.85,19.859968050484262
2024-05-03,,20.8498,19.5952,17.96,19.17779183578876
2024-06-03,,19.5952,20.8636,14.75,17.805768803869324
2024-07-02,,20.8636,23.0249,23.75,19.19279408050965
2024-07-31,,23.0249,21.6318,20.99,21.522536088176174
