,return,iv,ive,rv,realiv
2022-03-02,,38.3828,34.8276,40.48,38.3828
2022-03-31,,34.8276,41.246,40.78,34.8276
2022-04-29,,41.246,37.7644,56.08,41.246
2022-05-30,,37.7644,38.7365,41.3,37.57165170227519
2022-06-28,,38.7365,38.2914,40.96,38.548612640756325
2022-07-27,,38.2914,38.0032,27.1,38.10131780184353
2022-08-25,,38.0032,44.0318,50.94,37.81166902580576
2022-09-23,,44.0318,43.0512,47.96,43.520862246255966
2022-10-24,,43.0512,47.1316,123.88,42.52848293623449
2022-11-22,,47.1316,51.7043,60.21,46.06499530053283
2022-12-21,,51.7043,44.4607,29.58,50.73392072339878
2023-01-19,,44.4607,37.8094,78.29,43.32839620812328
2023-02-17,,37.8094,47.8672,49.71,34.751296201045875
2023-03-20,,47.8672,63.2642,119.31,45.49033628291646
2023-04-18,,63.2642,68.0024,115.67,61.48545243334252
2023-05-17,,68.0024,52.2496,68.05,66.350797018972
2023-06-15,,52.2496,52.3764,39.45,49.49596047315927
2023-07-14,,52.3764,46.3822,30.99,49.62979629174942
2023-08-14,,46.3822,41.4176,28.31,43.25665127862471
2023-09-12,,41.4176,43.93,33.24,36.65587474547655
2023-10-11,,43.93,47.7768,71.34,39.47252796054575
2023-11-09,,47.7768,44.9,49.82,43.713363881495845
2023-12-08,,44.9,46.3837,49.45,40.68782624426159
2024-01-08,,46.3837,15.2647,47.45,42.31946160070119
2024-02-06,,15.2647,26.0701,17.68,0.0
2024-03-06,,26.0701,15.1386,6.99,20.866510240026734
2024-04-04,,15.1386,20.13,8.09,0.0
2024-05-03,,20.13,27.92,8.67,12.687711991810842
2024-06-03,,27.92,22.0192,14.2,25.889184130939213
2024-07-02,,22.0192,13.4419,7.39,19.379592968008247
2024-07-31,,13.4419,6.1609,9.2,8.450333163590335
