,return,iv,ive,rv
2022-01-19,,42.7642,45.7247,54.72
2022-02-17,,45.7247,44.9355,69.89
2022-03-18,,44.9355,45.7519,43.16
2022-04-18,,45.7519,54.668,96.57
2022-05-17,,54.668,53.6339,64.46
2022-06-15,,53.6339,54.4928,63.63
2022-07-14,,54.4928,48.2928,49.03
2022-08-12,,48.2928,48.6376,38.61
2022-09-12,,48.6376,54.2005,47.31
2022-10-11,,54.2005,55.519,68.73
2022-11-09,,55.519,51.6442,53.18
2022-12-08,,51.6442,52.4038,49.24
2023-01-06,,52.4038,48.6342,41.21
2023-02-06,,48.6342,42.2504,29.03
2023-03-07,,42.2504,42.9781,31.66
2023-04-05,,42.9781,46.8224,53.87
2023-05-04,,46.8224,40.6905,41.96
2023-06-02,,40.6905,37.2523,31.19
2023-07-03,,37.2523,39.4586,29.92
2023-08-01,,39.4586,38.3366,62.19
2023-08-30,,38.3366,39.5105,31.71
2023-09-28,,39.5105,47.4198,38.5
2023-10-27,,47.4198,35.6596,33.75
2023-11-27,,35.6596,37.4244,20.32
2023-12-26,,37.4244,36.5516,20.53
2024-01-24,,36.5516,39.0772,46.35
2024-02-22,,39.0772,40.1553,23.05
2024-03-22,,40.1553,39.3556,21.51
2024-04-22,,39.3556,35.8858,24.87
2024-05-21,,35.8858,38.8101,29.68
2024-06-19,,38.8101,35.8052,21.1
2024-07-18,,35.8052,32.9837,36.1
