,return,iv,ive,rv,realiv
2022-03-02,,30.2803,30.7112,42.86,27.59222920303375
2022-03-31,,30.7112,33.5776,39.07,28.06443211153129
2022-04-29,,33.5776,34.8654,63.75,31.17514660852052
2022-05-30,,34.8654,35.8873,54.02,32.09584009023275
2022-06-28,,35.8873,35.2202,39.46,33.20308924223455
2022-07-27,,35.2202,35.8204,28.42,32.48090703748575
2022-08-25,,35.8204,39.0702,60.3,33.130769536758294
2022-09-23,,39.0702,41.7138,46.77,36.36649763038014
2022-10-24,,41.7138,36.2214,45.23,39.1928913490756
2022-11-22,,36.2214,35.7652,38.5,33.209142583168514
2022-12-21,,35.7652,32.8301,25.27,32.71095938961767
2023-01-19,,32.8301,31.3672,23.93,29.47325565931284
2023-02-17,,31.3672,32.5732,27.81,27.834485247426727
2023-03-20,,32.5732,29.3436,29.21,29.21135309191248
2023-04-18,,29.3436,31.9304,27.29,25.56045093851798
2023-05-17,,31.9304,29.9625,39.14,28.49281024013575
2023-06-15,,29.9625,28.7102,24.96,27.433183995454872
2023-07-14,,28.7102,31.7568,26.52,26.05961937401392
2023-08-14,,31.7568,31.7228,71.19,29.382350554686425
2023-09-12,,31.7228,32.0319,22.77,29.4828657363268
2023-10-11,,32.0319,34.5281,25.05,29.815196625148605
2023-11-09,,34.5281,30.5077,27.53,32.48219545837801
2023-12-08,,30.5077,31.0805,30.52,28.28366796089718
2024-01-08,,31.0805,34.3161,38.35,28.90058121011205
2024-02-06,,34.3161,42.6668,104.55,32.3549197687505
2024-03-06,,42.6668,46.1178,44.96,40.38237226243999
2024-04-04,,46.1178,47.052,45.81,44.01285771388041
2024-05-03,,47.052,50.3278,92.52,44.990786515710994
2024-06-03,,50.3278,52.4277,45.33,46.87994599856517
2024-07-02,,52.4277,50.7468,52.18,49.12744254770837
2024-07-31,,50.7468,51.1816,56.16,47.32947912483705
