,return,iv,ive,rv,realiv
2022-04-29,,39.9948,38.5563,46.6,38.97445316462025
2022-05-30,,38.5563,41.1822,54.09,37.49682976107684
2022-06-28,,41.1822,36.9785,42.51,40.19200877389904
2022-07-27,,36.9785,35.2586,30.3,35.86009585516732
2022-08-25,,35.2586,40.5801,31.29,34.08380680692503
2022-09-23,,40.5801,41.4894,35.69,39.56363896940964
2022-10-24,,41.4894,35.4623,41.66,40.495769221633374
2022-11-22,,35.4623,35.2809,27.01,33.89393655115618
2022-12-21,,35.2809,31.9537,28.99,33.704096463987895
2023-01-19,,31.9537,30.2962,31.55,30.092444251716596
2023-02-17,,30.2962,41.0611,39.82,28.32624210502817
2023-03-20,,41.0611,31.1675,29.55,39.62991534892134
2023-04-18,,31.1675,33.3329,32.9,29.25626964605486
2023-05-17,,33.3329,28.503,25.93,31.71387354310268
2023-06-15,,28.503,26.0611,13.96,26.59151296368652
2023-07-14,,26.0611,27.75,63.79,23.955552298118867
2023-08-14,,27.75,30.0061,41.15,25.946047931312787
2023-09-12,,30.0061,31.4011,26.66,28.34609215507458
2023-10-11,,31.4011,30.2577,37.37,29.818852836150164
2023-11-09,,30.2577,29.7971,31.86,28.76978665549349
2023-12-08,,29.7971,29.1194,21.95,28.284967444255816
2024-01-08,,29.1194,28.8949,45.37,27.57012280118845
2024-02-06,,28.8949,27.4172,45.52,27.06781091847366
2024-03-06,,27.4172,28.1873,25.95,25.48438733319367
2024-04-04,,28.1873,26.767,23.19,26.311119763291
2024-05-03,,26.767,25.115,13.18,24.63543027475903
2024-06-03,,25.115,27.9028,28.83,22.829703476447385
2024-07-02,,27.9028,27.6393,24.36,25.86500306712748
2024-07-31,,27.6393,30.0617,38.47,25.433488006412336
