,return,iv,ive,rv,realiv
2022-03-02,,67.5265,59.1159,109.55,65.25862560512557
2022-03-31,,59.1159,69.6782,68.43,54.20781741172968
2022-04-29,,69.6782,74.5331,97.06,65.56561134446488
2022-05-30,,74.5331,71.7241,125.73,70.70347114069735
2022-06-28,,71.7241,70.5706,69.76,67.06654379072161
2022-07-27,,70.5706,76.5657,58.26,65.83148456158936
2022-08-25,,76.5657,68.466,62.2,72.22105781358218
2022-09-23,,68.466,71.4783,58.74,61.57016295404774
2022-10-24,,71.4783,74.0975,92.74,64.90330639557583
2022-11-22,,74.0975,69.4065,80.64,67.77707072777632
2022-12-21,,69.4065,62.8262,49.66,60.44372887451741
2023-01-19,,62.8262,62.5396,54.83,52.757118234852165
2023-02-17,,62.5396,59.9953,106.93,52.415490898838016
2023-03-20,,59.9953,55.5667,38.16,51.29392982119066
2023-04-18,,55.5667,55.7313,31.66,46.03574006466315
2023-05-17,,55.7313,50.6829,35.7,46.23428396873074
2023-06-15,,50.6829,46.9638,30.19,39.950052171055255
2023-07-14,,46.9638,49.9759,28.29,35.11194706221853
2023-08-14,,49.9759,44.4758,36.87,39.0492112195629
2023-09-12,,44.4758,45.9244,20.62,34.33548080626636
2023-10-11,,45.9244,47.1721,31.61,36.19225016377796
2023-11-09,,47.1721,41.8197,39.15,37.762884886717615
2023-12-08,,41.8197,38.5143,60.58,34.09302450542005
2024-01-08,,38.5143,40.2189,51.38,29.946591063544645
2024-02-06,,40.2189,45.7509,25.78,32.10929661402087
2024-03-06,,45.7509,39.774,33.51,38.81484075256747
2024-04-04,,39.774,39.6963,24.04,31.122856145707477
2024-05-03,,39.6963,42.1998,34.21,31.023496456015422
2024-06-03,,42.1998,35.3498,29.66,34.16846819373678
2024-07-02,,35.3498,38.1243,33.01,27.282563415331825
2024-07-31,,38.1243,38.9793,32.77,30.792728962558712
