,return,iv,ive,rv,realiv
2022-04-29,,31.9905,30.2814,26.51,31.28303750671357
2022-05-30,,30.2814,34.832,42.66,29.53302441939273
2022-06-28,,34.832,31.6237,24.99,34.18339610683011
2022-07-27,,31.6237,30.2476,25.53,30.924108600354355
2022-08-25,,30.2476,35.1689,33.7,29.51540948041396
2022-09-23,,35.1689,34.2248,35.27,34.54118727326133
2022-10-24,,34.2248,31.4795,39.67,33.5286739075618
2022-11-22,,31.4795,30.2288,23.46,30.721229780228786
2022-12-21,,30.2288,28.4641,26.36,29.438331956814668
2023-01-19,,28.4641,25.5969,18.21,27.623179175641887
2023-02-17,,25.5969,30.1804,26.79,24.70488260477333
2023-03-20,,30.1804,25.5937,19.2,29.42764820820093
2023-04-18,,25.5937,27.1343,26.5,24.701567047368307
2023-05-17,,27.1343,24.0293,27.45,26.34842289877394
2023-06-15,,24.0293,23.3722,17.14,23.13820242051303
2023-07-14,,23.3722,23.9182,18.46,22.45504142954617
2023-08-14,,23.9182,22.7824,18.22,23.018153462136528
2023-09-12,,22.7824,24.982,21.07,21.835586718164176
2023-10-11,,24.982,24.6438,21.22,24.121679493071536
2023-11-09,,24.6438,22.946,18.67,23.88456392829528
2023-12-08,,22.946,21.8189,19.69,22.12858855880384
2024-01-08,,21.8189,21.1582,19.99,20.95757411569441
2024-02-06,,21.1582,22.3009,21.27,20.142823430069523
2024-03-06,,22.3009,21.9482,15.51,21.33996366690809
2024-04-04,,21.9482,21.0304,13.51,20.971108500385892
2024-05-03,,21.0304,20.6098,19.31,19.91411476502096
2024-06-03,,20.6098,20.355,19.07,19.469414443028988
2024-07-02,,20.355,21.3423,19.81,19.19948613151992
2024-07-31,,21.3423,21.5884,21.64,20.35372012438706
