,return,iv,ive,rv,realiv
2022-04-29,,58.2254,58.6566,84.55,55.5492420264547
2022-05-30,,58.6566,53.3484,55.96,54.94121808823429
2022-06-28,,53.3484,53.0811,66.81,49.23405837445176
2022-07-27,,53.0811,49.1666,31.57,48.94429383154816
2022-08-25,,49.1666,53.17,44.73,45.05846131098198
2022-09-23,,53.17,54.0991,44.09,49.39594396459349
2022-10-24,,54.0991,51.6207,56.4,50.3946723470176
2022-11-22,,51.6207,48.6969,45.32,47.187986849675326
2022-12-21,,48.6969,45.6998,34.2,43.97041623688741
2023-01-19,,45.6998,43.6109,67.29,40.6261141936456
2023-02-17,,43.6109,45.5677,31.18,38.94537684493822
2023-03-20,,45.5677,40.4177,29.46,41.12477431031385
2023-04-18,,40.4177,39.9933,30.69,35.333019288963264
2023-05-17,,39.9933,37.525,24.81,34.846747677139824
2023-06-15,,37.525,34.8005,23.01,33.65540592389451
2023-07-14,,34.8005,36.0536,53.56,30.588159852336883
2023-08-14,,36.0536,35.8317,20.86,32.30813994811046
2023-09-12,,35.8317,37.4149,23.44,32.06032686727774
2023-10-11,,37.4149,34.5031,35.71,33.82053482659154
2023-11-09,,34.5031,32.9889,21.12,30.357575679159133
2023-12-08,,32.9889,34.0574,23.89,28.62491947090636
2024-01-08,,34.0574,34.7687,31.58,29.850041645965486
2024-02-06,,34.7687,36.7337,38.39,30.6591094325304
2024-03-06,,36.7337,37.8959,19.51,33.24810745746289
2024-04-04,,37.8959,37.2722,26.73,34.52783182626733
2024-05-03,,37.2722,33.1296,21.15,33.842116166885894
2024-06-03,,33.1296,33.697,24.03,28.3046975339902
2024-07-02,,33.697,36.6192,25.86,28.96676225142657
2024-07-31,,36.6192,30.3672,52.42,32.31951910178539
