,return,iv,ive,rv,realiv
2022-02-01,,31.0527,30.6823,26.18,29.306304680085297
2022-03-02,,30.6823,28.7082,21.03,28.765018596810208
2022-03-31,,28.7082,31.8351,41.45,26.64926844821143
2022-04-29,,31.8351,34.4168,32.55,29.991604718568112
2022-05-30,,34.4168,39.6085,65.49,32.62133897483382
2022-06-28,,39.6085,36.1325,33.51,38.05875597705489
2022-07-27,,36.1325,34.3827,30.04,34.42663489975475
2022-08-25,,34.3827,36.1297,30.71,32.41046586776114
2022-09-23,,36.1297,36.041,29.33,34.25818822654388
2022-10-24,,36.041,36.8278,118.07,34.16462965517568
2022-11-22,,36.8278,36.0567,24.47,34.9326120254676
2022-12-21,,36.0567,32.5793,28.29,34.11870667202734
2023-01-19,,32.5793,33.8261,23.9,30.420573935608832
2023-02-17,,33.8261,34.7997,31.49,31.75225301127217
2023-03-20,,34.7997,31.7634,20.75,32.61666366329492
2023-04-18,,31.7634,30.4344,51.59,29.355428935624555
2023-05-17,,30.4344,30.6125,25.17,27.88236619796073
2023-06-15,,30.6125,28.5929,15.68,28.076659304254544
2023-07-14,,28.5929,28.5938,32.24,25.85976743606143
2023-08-14,,28.5938,30.1916,32.03,25.76260137883906
2023-09-12,,30.1916,39.2736,71.12,27.525241904930837
2023-10-11,,39.2736,37.6334,39.62,37.262875470432505
2023-11-09,,37.6334,35.8883,34.46,35.218549341218555
2023-12-08,,35.8883,35.3707,19.28,33.34731621929785
2024-01-08,,35.3707,35.1968,23.97,32.78963007766092
2024-02-06,,35.1968,34.2695,44.65,32.60196546804879
2024-03-06,,34.2695,32.7116,20.11,31.42985533030236
2024-04-04,,32.7116,30.8366,29.39,29.723491557919896
2024-05-03,,30.8366,31.5514,35.1,27.421557555168555
2024-06-03,,31.5514,31.2376,17.21,28.222982853543694
2024-07-02,,31.2376,34.7178,26.46,27.871734301105512
2024-07-31,,34.7178,30.0318,27.45,31.72335978472995
