,return,iv,ive,rv,realiv
2022-02-01,,32.9904,32.0202,25.59,31.326953821436614
2022-03-02,,32.0202,28.8974,24.74,30.16970211063293
2022-03-31,,28.8974,33.4315,28.31,26.83239542352357
2022-04-29,,33.4315,31.6377,39.08,31.66358965206454
2022-05-30,,31.6377,31.9203,25.2,29.666911344820445
2022-06-28,,31.9203,29.3498,18.34,29.9681017006656
2022-07-27,,29.3498,28.9121,23.05,27.21382603551797
2022-08-25,,28.9121,32.1237,27.57,26.72480429477857
2022-09-23,,32.1237,32.0835,23.6,30.17014650070853
2022-10-24,,32.0835,28.3568,25.1,30.127339916332065
2022-11-22,,28.3568,28.3747,19.69,25.89060341879852
2022-12-21,,28.3747,27.1862,15.53,25.910207240381183
2023-01-19,,27.1862,25.1859,37.55,24.60294107600759
2023-02-17,,25.1859,26.3473,14.56,22.67602770003717
2023-03-20,,26.3473,25.3897,20.46,23.95940088426364
2023-04-18,,25.3897,24.1486,15.1,22.902173249123177
2023-05-17,,24.1486,22.6614,10.26,21.73798069975524
2023-06-15,,22.6614,22.1234,25.64,20.072966220838698
2023-07-14,,22.1234,22.3743,29.31,19.46354927814892
2023-08-14,,22.3743,22.3645,12.31,19.994066179102248
2023-09-12,,22.3645,24.4289,18.07,19.983098912188776
2023-10-11,,24.4289,22.0992,19.9,22.269363194629527
2023-11-09,,22.0992,21.3977,10.82,20.10348029140699
2023-12-08,,21.3977,21.724,13.55,19.329688162952586
2024-01-08,,21.724,19.9518,10.55,19.69028834697423
2024-02-06,,19.9518,22.2204,20.93,17.541272145748643
2024-03-06,,22.2204,22.9267,13.57,20.084025528046347
2024-04-04,,22.9267,23.4072,10.54,20.862777335273872
2024-05-03,,23.4072,21.4209,25.21,21.389691841894717
2024-06-03,,21.4209,20.8772,14.72,19.02050945908984
2024-07-02,,20.8772,22.7799,23.95,18.40603985417086
2024-07-31,,22.7799,22.0591,15.24,20.22048355563045
