,return,iv,ive,rv,realiv
2022-04-29,,22.5361,23.1965,30.85,22.434407926604077
2022-05-30,,23.1965,26.3516,35.28,22.72430628186249
2022-06-28,,26.3516,26.5606,18.6,25.93691011477456
2022-07-27,,26.5606,23.898,24.27,26.149224770571976
2022-08-25,,23.898,28.6478,27.45,23.366849724421886
2022-09-23,,28.6478,30.0041,41.13,28.20623524832258
2022-10-24,,30.0041,25.5676,30.89,29.58278686759777
2022-11-22,,25.5676,25.4367,24.95,24.97102721625254
2022-12-21,,25.4367,24.2768,24.79,24.83698325813393
2023-01-19,,24.2768,22.9165,19.54,23.64768590612674
2023-02-17,,22.9165,24.8613,28.66,22.24895509287628
2023-03-20,,24.8613,23.2707,22.15,23.83278658057106
2023-04-18,,23.2707,23.1609,18.31,22.16851273755296
2023-05-17,,23.1609,22.7597,18.21,22.370136026450425
2023-06-15,,22.7597,21.6875,20.2,21.95449022687375
2023-07-14,,21.6875,22.5068,20.25,20.840905769229305
2023-08-14,,22.5068,20.5633,14.58,21.72947322551594
2023-09-12,,20.5633,24.6283,23.51,19.70947151266148
2023-10-11,,24.6283,23.7648,22.9,23.920015077512264
2023-11-09,,23.7648,20.6262,23.19,23.055917553289834
2023-12-08,,20.6262,19.9583,22.28,19.805295797440092
2024-01-08,,19.9583,21.0746,21.48,19.108724553828765
2024-02-06,,21.0746,21.4015,21.02,20.271861787810664
2024-03-06,,21.4015,20.8842,17.11,20.7165203034912
2024-04-04,,20.8842,19.7208,19.45,20.18167041835148
2024-05-03,,19.7208,19.6321,17.81,19.06663637114753
2024-06-03,,19.6321,19.0229,13.89,18.974878663105223
2024-07-02,,19.0229,19.3862,19.89,18.3438653036803
2024-07-31,,19.3862,18.8537,14.13,18.806450555935225
