,return,iv,ive,rv,realiv
2022-04-29,,30.6598,28.8816,26.35,29.589414173408127
2022-05-30,,28.8816,29.3987,29.63,27.74269117525345
2022-06-28,,29.3987,29.1385,39.51,28.28062334488909
2022-07-27,,29.1385,28.3111,20.48,28.077357597724237
2022-08-25,,28.3111,31.2315,23.82,27.21771868894384
2022-09-23,,31.2315,28.8409,26.45,30.243882351154635
2022-10-24,,28.8409,26.5781,30.2,27.775723801423712
2022-11-22,,26.5781,27.3495,21.35,25.41827530524004
2022-12-21,,27.3495,27.197,21.9,26.22381494239493
2023-01-19,,27.197,24.3622,23.34,26.064729595431743
2023-02-17,,24.3622,26.4427,20.39,23.29276441167096
2023-03-20,,26.4427,23.3384,25.33,25.46080258726353
2023-04-18,,23.3384,24.3718,29.58,22.219743465161905
2023-05-17,,24.3718,23.2184,37.23,23.35027313138177
2023-06-15,,23.2184,24.1345,39.94,22.14372865237761
2023-07-14,,24.1345,24.056,23.75,23.10248277393859
2023-08-14,,24.056,24.2199,18.56,22.965834783862693
2023-09-12,,24.2199,25.854,18.04,23.137458532208704
2023-10-11,,25.854,23.836,15.87,24.842861093675936
2023-11-09,,23.836,22.7391,17.61,22.662060302406186
2023-12-08,,22.7391,22.3981,15.98,21.505365608607875
2024-01-08,,22.3981,20.0707,13.51,21.14447835156721
2024-02-06,,20.0707,21.5034,11.9,18.681335341520874
2024-03-06,,21.5034,21.9481,16.29,20.21275595292133
2024-04-04,,21.9481,19.2711,17.27,20.685221421641995
2024-05-03,,19.2711,20.3764,28.87,17.463275726421394
2024-06-03,,20.3764,21.1383,13.69,18.67587697665142
2024-07-02,,21.1383,22.1297,31.24,19.504318259734656
2024-07-31,,22.1297,21.4576,12.77,20.69132874009183
