,return,iv,ive,rv,realiv
2022-04-29,,69.7259,67.7861,93.73,65.46407650740541
2022-05-30,,67.7861,68.6102,82.66,63.394002361165285
2022-06-28,,68.6102,64.2913,85.83,64.27444069143993
2022-07-27,,64.2913,60.4539,46.86,60.02495823414392
2022-08-25,,60.4539,68.1824,51.99,55.89542360990497
2022-09-23,,68.1824,70.6286,52.05,64.175260226046
2022-10-24,,70.6286,62.8705,65.27,66.76843186177675
2022-11-22,,62.8705,62.0057,56.05,58.5015075389379
2022-12-21,,62.0057,61.7259,62.99,57.57111642628105
2023-01-19,,61.7259,58.9509,48.27,57.26965466011131
2023-02-17,,58.9509,60.2957,49.87,54.47024111680717
2023-03-20,,60.2957,58.4863,58.62,55.9228932996417
2023-04-18,,58.4863,57.1031,109.27,53.96708111620556
2023-05-17,,57.1031,55.5321,29.69,53.209642148544255
2023-06-15,,55.5321,56.0924,45.44,51.520055496632935
2023-07-14,,56.0924,54.2994,53.55,52.12350070482735
2023-08-14,,54.2994,55.5999,34.88,49.92411488855141
2023-09-12,,55.5999,59.6587,38.18,51.33557525785876
2023-10-11,,59.6587,62.6561,89.38,55.7059502453309
2023-11-09,,62.6561,62.9323,66.14,58.58272415397023
2023-12-08,,62.9323,63.6868,71.27,58.87803567868214
2024-01-08,,63.6868,66.8266,41.23,59.68381016934297
2024-02-06,,66.8266,63.573,76.71,63.02335416058215
2024-03-06,,63.573,64.9184,58.2,59.06283900132987
2024-04-04,,64.9184,60.6128,60.71,60.508605011659405
2024-05-03,,60.6128,63.5663,57.38,54.67946954108896
2024-06-03,,63.5663,63.6945,61.8,57.93623530352032
2024-07-02,,63.6945,60.923,70.07,58.076864547811766
2024-07-31,,60.923,60.1643,47.63,55.014528906904495
