,return,iv,ive,rv
2022-01-19,,35.7517,35.8896,31.65
2022-02-17,,35.8896,32.886,35.88
2022-03-18,,32.886,36.4335,41.48
2022-04-18,,36.4335,38.4214,51.55
2022-05-17,,38.4214,46.0903,47.86
2022-06-15,,46.0903,40.625,25.04
2022-07-14,,40.625,31.4696,35.23
2022-08-12,,31.4696,36.3698,25.98
2022-09-12,,36.3698,40.5401,34.0
2022-10-11,,40.5401,34.1191,34.38
2022-11-09,,34.1191,36.8337,46.23
2022-12-08,,36.8337,33.6855,22.9
2023-01-06,,33.6855,31.9904,22.52
2023-02-06,,31.9904,29.5605,22.18
2023-03-07,,29.5605,32.6311,35.13
2023-04-05,,32.6311,34.1766,24.5
2023-05-04,,34.1766,36.6297,40.65
2023-06-02,,36.6297,30.3343,26.62
2023-07-03,,30.3343,32.8063,21.88
2023-08-01,,32.8063,32.6264,33.36
2023-08-30,,32.6264,35.9956,28.62
2023-09-28,,35.9956,44.1812,52.32
2023-10-27,,44.1812,40.7156,62.64
2023-11-27,,40.7156,42.5315,43.72
2023-12-26,,42.5315,40.5177,28.1
2024-01-24,,40.5177,44.7104,35.93
2024-02-22,,44.7104,40.3204,38.04
2024-03-22,,40.3204,38.1795,39.38
2024-04-22,,38.1795,34.85,22.95
2024-05-21,,34.85,33.2043,26.3
2024-06-19,,33.2043,6.0791,14.06
2024-07-18,,6.0791,9.3301,6.28
