,return,iv,ive,rv,realiv
2022-04-29,,24.0994,21.0752,15.54,23.61994943861918
2022-05-30,,21.0752,23.0262,30.12,20.83256057193937
2022-06-28,,23.0262,22.6583,22.38,22.8043287860775
2022-07-27,,22.6583,20.9698,16.66,22.43279037109568
2022-08-25,,20.9698,23.8954,22.52,20.586230400109788
2022-09-23,,23.8954,25.5139,39.69,23.55950999504031
2022-10-24,,25.5139,22.7584,29.04,25.19959252163424
2022-11-22,,22.7584,22.9942,18.16,21.91544783057269
2022-12-21,,22.9942,21.8272,20.79,22.16021923841353
2023-01-19,,21.8272,20.9337,22.4,20.946807463061127
2023-02-17,,20.9337,21.6456,23.79,19.4462839167255
2023-03-20,,21.6456,21.605,21.31,20.210644765565917
2023-04-18,,21.605,21.0057,17.57,20.16715615747289
2023-05-17,,21.0057,25.1876,20.53,18.61639483411978
2023-06-15,,25.1876,18.8766,19.18,23.232432457447104
2023-07-14,,18.8766,21.6721,19.82,16.175807605490416
2023-08-14,,21.6721,21.9534,18.95,20.089792304686377
2023-09-12,,21.9534,26.2752,27.82,20.392930343514536
2023-10-11,,26.2752,27.7373,36.77,24.986115573962994
2023-11-09,,27.7373,25.1709,27.68,27.025112250290867
2023-12-08,,25.1709,25.0362,25.9,24.38386941526757
2024-01-08,,25.0362,27.1695,37.37,24.244797200447387
2024-02-06,,27.1695,26.115,28.03,26.44202358180669
2024-03-06,,26.115,21.7722,23.98,25.79035139354496
2024-04-04,,21.7722,23.5463,19.57,21.38171398280611
2024-05-03,,23.5463,22.8981,23.81,23.3863180941684
2024-06-03,,22.8981,20.8562,17.23,22.733557001086048
2024-07-02,,20.8562,21.4537,24.04,20.675413145851003
2024-07-31,,21.4537,20.1932,19.19,21.277990365671958
