,return,iv,ive,rv,realiv
2022-02-01,,25.4552,28.8524,37.19,24.73689435861121
2022-03-02,,28.8524,25.3753,24.83,28.162877047056558
2022-03-31,,25.3753,30.4907,27.62,24.58846290229678
2022-04-29,,30.4907,27.9906,32.89,29.83905903840845
2022-05-30,,27.9906,29.625,32.27,27.212212614732252
2022-06-28,,29.625,27.0485,26.82,28.89068105859385
2022-07-27,,27.0485,25.6877,22.0,26.242183203373028
2022-08-25,,25.6877,30.7072,29.45,25.00103277804165
2022-09-23,,30.7072,30.2862,34.05,30.1351263564418
2022-10-24,,30.2862,26.2471,24.45,29.70601991379379
2022-11-22,,26.2471,26.3809,21.72,25.513150253540992
2022-12-21,,26.3809,25.4388,23.08,25.65077897958966
2023-01-19,,25.4388,22.8339,22.09,24.68082500423677
2023-02-17,,22.8339,26.9671,35.45,22.06338403016368
2023-03-20,,26.9671,24.2795,25.87,26.317872407595598
2023-04-18,,24.2795,23.8783,23.72,23.55631647568188
2023-05-17,,23.8783,23.9283,35.5,23.34309707845657
2023-06-15,,23.9283,22.9817,19.88,23.394240983931237
2023-07-14,,22.9817,24.1186,27.48,22.42510881164789
2023-08-14,,24.1186,24.6505,21.37,23.481465967111685
2023-09-12,,24.6505,26.7309,26.29,24.027474446029995
2023-10-11,,26.7309,26.3929,34.8,26.15747298220193
2023-11-09,,26.3929,24.5491,16.79,25.699827307174868
2023-12-08,,24.5491,23.6633,16.36,23.802400383545585
2024-01-08,,23.6633,22.6785,30.72,22.887719853637908
2024-02-06,,22.6785,25.8964,17.71,21.680159552712663
2024-03-06,,25.8964,26.6558,19.21,25.02675546172692
2024-04-04,,26.6558,26.8961,27.83,25.811753710685338
2024-05-03,,26.8961,26.6546,20.24,25.71684209703129
2024-06-03,,26.6546,28.399,30.34,25.4641605672294
2024-07-02,,28.399,31.537,45.25,27.284775484391304
2024-07-31,,31.537,29.1065,32.91,30.537487474146275
