,return,iv,ive,rv,realiv
2022-02-01,,57.8871,61.0566,92.84,54.68208709262946
2022-03-02,,61.0566,60.0102,90.23,56.82268496984467
2022-03-31,,60.0102,72.8069,74.39,55.69679728370574
2022-04-29,,72.8069,71.0576,112.09,69.29468818915495
2022-05-30,,71.0576,73.3628,86.23,66.8703468453412
2022-06-28,,73.3628,68.6088,70.57,69.31494206371549
2022-07-27,,68.6088,63.0286,58.39,64.2621833343393
2022-08-25,,63.0286,68.1081,52.56,57.21609758137777
2022-09-23,,68.1081,69.2274,64.32,62.76775199170145
2022-10-24,,69.2274,64.1422,86.8,63.98054638123797
2022-11-22,,64.1422,61.9102,53.83,57.850044525226025
2022-12-21,,61.9102,54.9977,50.08,55.36495908759108
2023-01-19,,54.9977,56.2332,55.16,47.50950258654193
2023-02-17,,56.2332,54.713,41.81,48.934431773247695
2023-03-20,,54.713,51.0611,34.02,48.48039283323519
2023-04-18,,51.0611,49.8299,46.55,44.31785253681414
2023-05-17,,49.8299,51.2204,40.36,43.9251455537667
2023-06-15,,51.2204,49.7114,47.05,45.49647078696973
2023-07-14,,49.7114,48.2683,64.2,43.79066987235512
2023-08-14,,48.2683,50.091,36.81,42.992389429177976
2023-09-12,,50.091,53.5851,33.02,45.02915771963866
2023-10-11,,53.5851,50.9282,45.44,48.88639591900893
2023-11-09,,50.9282,50.8531,51.16,46.29454739187266
2023-12-08,,50.8531,50.6435,40.72,46.21191775492923
2024-01-08,,50.6435,52.5568,47.6,45.98116631000505
2024-02-06,,52.5568,48.6163,50.02,48.08035762365276
2024-03-06,,48.6163,50.0262,35.48,43.33210591194632
2024-04-04,,50.0262,46.5913,62.17,44.908211537692445
2024-05-03,,46.5913,43.5543,28.61,41.08238449207614
2024-06-03,,43.5543,46.2134,33.22,37.60306009296023
2024-07-02,,46.2134,48.2102,39.84,40.653307607435565
2024-07-31,,48.2102,44.3813,48.53,42.909631365286494
