,return,iv,ive,rv,realiv
2022-04-29,,73.4391,64.6564,82.84,71.26366924410758
2022-05-30,,64.6564,71.4169,96.14,62.17442566106715
2022-06-28,,71.4169,66.9951,56.14,69.17790652320699
2022-07-27,,66.9951,71.1335,66.83,64.60303839088037
2022-08-25,,71.1335,77.5583,59.29,69.03514099785006
2022-09-23,,77.5583,85.1933,75.15,75.63838819827562
2022-10-24,,85.1933,71.3017,78.46,83.44923148377725
2022-11-22,,71.3017,62.7699,66.94,69.2041456025597
2022-12-21,,62.7699,57.9481,92.39,60.37666512569474
2023-01-19,,57.9481,56.3697,39.58,55.34675816432507
2023-02-17,,56.3697,54.3033,47.89,53.69194002623004
2023-03-20,,54.3033,50.8167,32.83,51.80535408612832
2023-04-18,,50.8167,47.3659,50.84,48.138169055222
2023-05-17,,47.3659,45.6223,33.01,44.73290319600416
2023-06-15,,45.6223,43.4853,36.07,42.882378698284434
2023-07-14,,43.4853,42.0497,51.92,40.60142191627134
2023-08-14,,42.0497,42.8997,37.45,39.34932522756784
2023-09-12,,42.8997,46.7499,35.95,40.25638316919327
2023-10-11,,46.7499,47.4106,52.88,44.33672603818314
2023-11-09,,47.4106,50.272,48.5,45.24060827352434
2023-12-08,,50.272,49.9557,48.45,48.23091983985459
2024-01-08,,49.9557,47.4488,32.6,47.90114411043309
2024-02-06,,47.4488,61.1869,46.6,45.28063897559838
2024-03-06,,61.1869,51.8745,51.53,59.21118212813445
2024-04-04,,51.8745,48.4761,48.54,49.52868974292686
2024-05-03,,48.4761,52.6004,61.31,45.95714991827832
2024-06-03,,52.6004,58.8883,50.6,49.74922914190915
2024-07-02,,58.8883,65.3599,44.75,56.35614959296086
2024-07-31,,65.3599,47.0301,86.73,63.088035696669
