,return,iv,ive,rv,realiv
2022-02-01,,30.2555,29.5822,24.92,29.596271820811385
2022-03-02,,29.5822,27.4181,26.64,28.783561702975454
2022-03-31,,27.4181,31.4584,26.43,26.554454900807045
2022-04-29,,31.4584,30.0362,48.25,30.708594855984465
2022-05-30,,30.0362,31.3929,34.18,29.12928411285571
2022-06-28,,31.3929,28.0354,23.45,30.526317381850504
2022-07-27,,28.0354,27.2199,26.31,27.06151392009449
2022-08-25,,27.2199,32.5369,33.45,26.08179063335757
2022-09-23,,32.5369,32.9875,25.57,31.59092762554305
2022-10-24,,32.9875,26.6895,45.05,32.054828074446114
2022-11-22,,26.6895,29.759,28.64,25.42398952935726
2022-12-21,,29.759,27.147,20.64,28.629493784188146
2023-01-19,,27.147,28.6916,29.71,25.903849952060558
2023-02-17,,28.6916,30.094,30.4,27.51831651643806
2023-03-20,,30.094,26.1807,18.84,29.09480166807769
2023-04-18,,26.1807,26.9235,31.06,25.02574076016085
2023-05-17,,26.9235,25.2759,21.9,25.892219245294527
2023-06-15,,25.2759,22.5886,20.49,24.174434554015946
2023-07-14,,22.5886,23.0151,19.4,21.34893475460544
2023-08-14,,23.0151,20.6623,13.41,21.847600709832268
2023-09-12,,20.6623,23.7382,17.25,19.353383943286595
2023-10-11,,23.7382,23.3274,24.15,22.608073071499557
2023-11-09,,23.3274,22.6204,17.98,22.16884035319725
2023-12-08,,22.6204,21.9759,13.87,21.42364086717164
2024-01-08,,21.9759,23.0742,20.93,20.7419881558048
2024-02-06,,23.0742,23.4011,29.78,21.902250968463196
2024-03-06,,23.4011,22.7584,19.06,22.18520746470437
2024-04-04,,22.7584,24.1588,17.68,21.506201886943558
2024-05-03,,24.1588,20.5911,13.6,22.9830277918723
2024-06-03,,20.5911,21.4549,20.12,19.351969441293217
2024-07-02,,21.4549,24.336,21.44,20.26864711954763
2024-07-31,,24.336,21.2645,22.28,23.29691434604047
