,return,iv,ive,rv,realiv
2022-02-01,,52.0077,53.9727,39.71,51.35831577652918
2022-03-02,,53.9727,49.2112,46.88,52.97922289430531
2022-03-31,,49.2112,54.2743,40.85,48.119517024119055
2022-04-29,,54.2743,50.4458,58.13,53.28644624746975
2022-05-30,,50.4458,53.4039,67.38,49.278571442023456
2022-06-28,,53.4039,50.6555,54.84,52.30272842726859
2022-07-27,,50.6555,48.046,39.94,49.4932171714126
2022-08-25,,48.046,52.2133,47.78,46.99350786822505
2022-09-23,,52.2133,48.4829,47.56,51.24646683090386
2022-10-24,,48.4829,45.6463,33.36,47.44010179342926
2022-11-22,,45.6463,42.2983,30.8,44.68391604625196
2022-12-21,,42.2983,37.7386,30.29,41.25789418315595
2023-01-19,,37.7386,36.8444,41.32,36.568696715886574
2023-02-17,,36.8444,40.6766,44.62,35.64516041342069
2023-03-20,,40.6766,35.2929,34.42,40.09454539074167
2023-04-18,,35.2929,37.4314,39.21,34.62045021284737
2023-05-17,,37.4314,34.6727,23.77,37.238150794770654
2023-06-15,,34.6727,32.6022,26.96,34.46398546227755
2023-07-14,,32.6022,30.2708,15.83,32.380142271059874
2023-08-14,,30.2708,27.3011,15.59,30.18213114864229
2023-09-12,,27.3011,29.6913,29.68,27.202752971782903
2023-10-11,,29.6913,29.9211,21.0,29.60089531963253
2023-11-09,,29.9211,29.358,18.03,29.82147343694057
2023-12-08,,29.358,28.8066,20.34,29.25645598393886
2024-01-08,,28.8066,28.4238,19.06,28.70310534245645
2024-02-06,,28.4238,26.162,39.78,28.318906390963477
2024-03-06,,26.162,25.8282,13.9,26.03934464332711
2024-04-04,,25.8282,26.24,18.83,25.7039518497442
2024-05-03,,26.24,25.577,23.24,25.877751475036423
2024-06-03,,25.577,25.3261,26.35,25.20522466481404
2024-07-02,,25.3261,27.1559,23.37,24.95058641823374
2024-07-31,,27.1559,26.8295,30.8,26.80603152676184
