,return,iv,ive,rv,realiv
2022-04-29,,31.9873,29.8612,33.99,30.70864325726848
2022-05-30,,29.8612,31.9868,36.27,28.487272155335983
2022-06-28,,31.9868,28.9114,31.17,30.708122437755467
2022-07-27,,28.9114,27.3715,18.46,27.49460035260611
2022-08-25,,27.3715,30.4217,26.78,25.870504649881266
2022-09-23,,30.4217,31.6656,28.75,29.078580252129367
2022-10-24,,31.6656,28.8963,39.49,30.377528239630163
2022-11-22,,28.8963,28.6594,23.68,27.29966126016725
2022-12-21,,28.6594,26.1251,19.36,27.048781110983107
2023-01-19,,26.1251,24.2295,32.34,24.34740645818105
2023-02-17,,24.2295,29.5475,38.28,22.51320580072268
2023-03-20,,29.5475,25.6205,16.26,28.15724633954274
2023-04-18,,25.6205,24.121,17.8,24.00387021764809
2023-05-17,,24.121,22.1633,18.78,22.638886499208088
2023-06-15,,22.1633,19.7474,12.47,20.54040914427038
2023-07-14,,19.7474,20.2143,18.49,17.90687989807343
2023-08-14,,20.2143,19.3289,12.46,18.482439665734013
2023-09-12,,19.3289,21.7774,15.44,17.509683798329938
2023-10-11,,21.7774,20.6139,24.79,20.180133851575363
2023-11-09,,20.6139,19.6212,13.89,18.802670628191
2023-12-08,,19.6212,19.3486,13.07,17.708727762948882
2024-01-08,,19.3486,19.3021,15.1,17.4062020987416
2024-02-06,,19.3021,20.3321,15.41,17.354498378006678
2024-03-06,,20.3321,20.0789,13.01,18.48223229352397
2024-04-04,,20.0789,20.1366,24.64,18.20331962450202
2024-05-03,,20.1366,20.6773,13.83,18.2050754455585
2024-06-03,,20.6773,20.6988,11.68,18.801405471625703
2024-07-02,,20.6988,20.4683,23.05,18.825048043988545
2024-07-31,,20.4683,20.7897,18.02,18.437770139494813
