,return,iv,ive,rv
2022-01-19,,62.2627,62.8963,60.72
2022-02-17,,62.8963,57.1163,65.47
2022-03-18,,57.1163,57.8067,37.55
2022-04-18,,57.8067,63.0872,73.72
2022-05-17,,63.0872,64.0628,64.28
2022-06-15,,64.0628,60.9669,59.66
2022-07-14,,60.9669,53.3048,47.38
2022-08-12,,53.3048,55.5073,47.04
2022-09-12,,55.5073,58.817,57.93
2022-10-11,,58.817,59.2571,66.62
2022-11-09,,59.2571,56.8244,59.14
2022-12-08,,56.8244,54.6029,51.25
2023-01-06,,54.6029,49.6352,51.59
2023-02-06,,49.6352,48.1849,37.2
2023-03-07,,48.1849,48.9313,47.02
2023-04-05,,48.9313,46.032,63.12
2023-05-04,,46.032,42.9445,58.56
2023-06-02,,42.9445,42.9355,42.76
2023-07-03,,42.9355,43.7074,39.6
2023-08-01,,43.7074,43.0542,32.03
2023-08-30,,43.0542,45.8129,33.55
2023-09-28,,45.8129,49.8996,38.99
2023-10-27,,49.8996,42.5083,61.42
2023-11-27,,42.5083,42.9541,41.57
2023-12-26,,42.9541,43.2859,28.49
2024-01-24,,43.2859,48.629,106.81
2024-02-22,,48.629,50.684,30.03
2024-03-22,,50.684,50.6983,29.35
2024-04-22,,50.6983,46.0809,79.23
2024-05-21,,46.0809,47.8077,40.4
2024-06-19,,47.8077,48.3304,33.97
2024-07-18,,48.3304,47.3434,121.11
