,return,iv,ive,rv
2022-04-18,,68.9084,78.8767,93.87
2022-05-17,,78.8767,77.7291,96.92
2022-06-15,,77.7291,78.4273,81.21
2022-07-14,,78.4273,71.7425,72.66
2022-08-12,,71.7425,73.7861,53.02
2022-09-12,,73.7861,77.7288,75.03
2022-10-11,,77.7288,73.68,65.47
2022-11-09,,73.68,71.115,72.56
2022-12-08,,71.115,67.8662,48.63
2023-01-06,,67.8662,69.1619,54.39
2023-02-06,,69.1619,60.3479,43.34
2023-03-07,,60.3479,60.5218,47.49
2023-04-05,,60.5218,59.6835,44.05
2023-05-04,,59.6835,52.7868,45.01
2023-06-02,,52.7868,49.0633,36.61
2023-07-03,,49.0633,50.2356,41.19
2023-08-01,,50.2356,48.8197,66.26
2023-08-30,,48.8197,49.6969,37.07
2023-09-28,,49.6969,56.6837,40.36
2023-10-27,,56.6837,48.1853,49.26
2023-11-27,,48.1853,49.5743,46.72
2023-12-26,,49.5743,50.0553,39.24
2024-01-24,,50.0553,47.2236,38.16
2024-02-22,,47.2236,48.631,38.06
2024-03-22,,48.631,48.3796,32.92
2024-04-22,,48.3796,48.5552,81.36
2024-05-21,,48.5552,48.0227,28.21
2024-06-19,,48.0227,50.1318,30.36
2024-07-18,,50.1318,44.0502,38.76
