,return,iv,ive,rv,realiv
2022-02-01,,34.2315,34.9648,35.99,31.801471377126266
2022-03-02,,34.9648,34.6593,39.12,32.63058099953693
2022-03-31,,34.6593,38.1876,34.72,32.30301307645064
2022-04-29,,38.1876,36.6845,55.55,36.062589633681895
2022-05-30,,36.6845,37.7824,38.64,34.25643253975222
2022-06-28,,37.7824,37.5674,38.51,35.42965396190873
2022-07-27,,37.5674,36.2395,35.21,35.20028654514895
2022-08-25,,36.2395,38.519,36.26,33.559900892461705
2022-09-23,,38.519,39.7817,38.77,36.009428607822315
2022-10-24,,39.7817,35.9971,44.31,37.35705077427623
2022-11-22,,35.9971,36.1067,23.05,33.258397002426975
2022-12-21,,36.1067,33.0523,24.83,33.37699129117307
2023-01-19,,33.0523,32.8577,26.21,30.046369132576466
2023-02-17,,32.8577,35.648,40.65,29.83216740451561
2023-03-20,,35.648,33.4685,26.02,32.82334278261096
2023-04-18,,33.4685,33.5044,34.55,30.44228013265068
2023-05-17,,33.5044,30.5753,27.45,30.51286214800473
2023-06-15,,30.5753,29.7987,19.84,27.264242281661527
2023-07-14,,29.7987,26.6836,19.42,26.390385726494035
2023-08-14,,26.6836,28.5646,22.61,23.01635348021749
2023-09-12,,28.5646,29.4635,19.22,25.172890015378048
2023-10-11,,29.4635,26.675,56.09,26.188467897460512
2023-11-09,,26.675,27.2794,18.19,22.674145995750564
2023-12-08,,27.2794,30.7342,49.81,23.38219271147621
2024-01-08,,30.7342,30.8302,19.77,27.33408716742909
2024-02-06,,30.8302,29.263,22.64,27.44198432469145
2024-03-06,,29.263,25.8045,39.38,25.696913171657503
2024-04-04,,25.8045,24.319,22.61,21.676724794158936
2024-05-03,,24.319,33.8117,32.81,20.30961555434044
2024-06-03,,33.8117,26.2891,14.48,31.05314444392238
2024-07-02,,26.2891,25.6757,14.6,22.63147148939077
2024-07-31,,25.6757,26.4162,22.16,21.91593697415438
