,return,iv,ive,rv,realiv
2022-04-29,,31.9661,30.1606,38.9,29.658693090570125
2022-05-30,,30.1606,32.6269,36.77,27.703218567354806
2022-06-28,,32.6269,30.1895,28.99,30.369740371636897
2022-07-27,,30.1895,28.7693,26.18,27.95262988032588
2022-08-25,,28.7693,32.7424,28.69,26.41242566419236
2022-09-23,,32.7424,34.4699,34.48,30.69215477506406
2022-10-24,,34.4699,29.9429,31.98,32.52871981782387
2022-11-22,,29.9429,29.501,22.17,27.458012803769417
2022-12-21,,29.501,27.5001,25.5,26.975437118274197
2023-01-19,,27.5001,25.2824,26.3,24.771368689112943
2023-02-17,,25.2824,28.9822,23.79,22.574245039947307
2023-03-20,,28.9822,26.3631,19.94,26.652667900298194
2023-04-18,,26.3631,26.2877,20.46,23.77834794458155
2023-05-17,,26.2877,23.7264,23.88,24.34164211547068
2023-06-15,,23.7264,23.5686,34.63,21.55027671626645
2023-07-14,,23.5686,23.9314,14.27,21.376418679181405
2023-08-14,,23.9314,23.4313,14.42,21.94789603955448
2023-09-12,,23.4313,25.7801,15.25,21.40149654330489
2023-10-11,,25.7801,24.5552,21.32,23.95019395773427
2023-11-09,,24.5552,23.0305,18.43,22.88103273514109
2023-12-08,,23.0305,22.1891,19.14,21.23647198186644
2024-01-08,,22.1891,20.4204,29.86,20.320924457233687
2024-02-06,,20.4204,22.202,19.99,18.517840902956674
2024-03-06,,22.202,22.4886,13.27,20.465739653069352
2024-04-04,,22.4886,21.5916,22.98,20.77630442372308
2024-05-03,,21.5916,22.2914,21.11,19.740178357930592
2024-06-03,,22.2914,23.8395,27.07,20.503267178742792
2024-07-02,,23.8395,26.1016,50.73,22.17654642393426
2024-07-31,,26.1016,26.8129,25.67,24.33855436443404
