,return,iv,ive,rv,realiv
2022-02-01,,32.1692,30.0743,27.05,29.87083184706147
2022-03-02,,30.0743,28.1551,36.15,27.73908837429355
2022-03-31,,28.1551,36.1452,58.19,25.645723997517944
2022-04-29,,36.1452,34.7141,38.04,34.2267291219431
2022-05-30,,34.7141,37.6576,42.41,32.88219605685495
2022-06-28,,37.6576,32.3356,27.83,35.97589354653262
2022-07-27,,32.3356,31.2759,35.04,30.36051887026056
2022-08-25,,31.2759,36.5888,30.26,29.15274160571997
2022-09-23,,36.5888,33.0513,33.67,34.79138841379971
2022-10-24,,33.0513,31.2835,42.87,31.049780257030427
2022-11-22,,31.2835,30.4985,32.94,29.39109957899397
2022-12-21,,30.4985,26.9312,19.33,28.554121672051817
2023-01-19,,26.9312,31.285,75.8,24.707668761992487
2023-02-17,,31.285,26.0665,22.16,29.392696154186662
2023-03-20,,26.0665,25.6599,24.73,23.85657628958136
2023-04-18,,25.6599,26.2556,19.63,23.41162698362964
2023-05-17,,26.2556,28.1822,26.91,24.17240281191884
2023-06-15,,28.1822,25.3761,25.32,26.252331766562406
2023-07-14,,25.3761,27.7441,21.52,23.21411160375649
2023-08-14,,27.7441,27.8938,27.9,25.77405427323105
2023-09-12,,27.8938,32.5452,28.56,25.93512805654639
2023-10-11,,32.5452,32.1931,34.66,30.882953743278183
2023-11-09,,32.1931,29.4688,31.58,30.34852127778516
2023-12-08,,29.4688,31.7749,32.99,27.44170602528528
2024-01-08,,31.7749,29.7738,22.18,29.9045368823558
2024-02-06,,29.7738,31.1455,21.99,27.76897950192226
2024-03-06,,31.1455,33.6628,30.04,29.2785980623067
2024-04-04,,33.6628,29.5632,21.06,31.943359843387004
2024-05-03,,29.5632,26.7663,70.51,27.589435088165715
2024-06-03,,26.7663,26.2627,13.21,24.61551622019351
2024-07-02,,26.2627,29.846,15.0,24.06695315960476
2024-07-31,,29.846,32.1047,40.04,27.933358893921252
