,return,iv,ive,rv,realiv
2022-04-29,,55.6367,54.1689,89.33,53.09612255545635
2022-05-30,,54.1689,57.6418,73.88,51.01748972954852
2022-06-28,,57.6418,52.5617,53.99,54.69087344644067
2022-07-27,,52.5617,51.881,60.98,49.30767524417055
2022-08-25,,51.881,62.1658,61.71,48.91559910499078
2022-09-23,,62.1658,66.0025,118.99,59.713351642996685
2022-10-24,,66.0025,59.1607,74.85,63.69794094827692
2022-11-22,,59.1607,62.4512,51.24,56.4590259776852
2022-12-21,,62.4512,54.8697,52.15,59.898126609259926
2023-01-19,,54.8697,52.5215,64.47,51.94532864415174
2023-02-17,,52.5215,56.471,46.6,49.74536874374789
2023-03-20,,56.471,53.0566,41.23,53.89867892816529
2023-04-18,,53.0566,51.6237,67.46,50.31000449971606
2023-05-17,,51.6237,49.9661,42.07,48.83233151089336
2023-06-15,,49.9661,47.9541,64.39,47.07654775267392
2023-07-14,,47.9541,48.2386,102.57,44.935352517920535
2023-08-14,,48.2386,46.2077,30.93,45.11703394194837
2023-09-12,,46.2077,47.0683,33.17,42.93874428821739
2023-10-11,,47.0683,47.7537,64.47,43.863527977682345
2023-11-09,,47.7537,44.5661,29.37,43.778488827372016
2023-12-08,,44.5661,44.0703,35.81,40.277505999358205
2024-01-08,,44.0703,44.7802,33.39,39.728221233882806
2024-02-06,,44.7802,43.7531,40.24,40.51427566128186
2024-03-06,,43.7531,46.877,32.65,38.9763582353881
2024-04-04,,46.877,41.0048,36.89,42.45321979171081
2024-05-03,,41.0048,40.6593,37.96,36.3287248913257
2024-06-03,,40.6593,40.7843,31.73,35.938298591887
2024-07-02,,40.7843,40.0498,34.89,36.07965847509684
2024-07-31,,40.0498,38.9017,37.91,35.247256761762706
