,return,iv,ive,rv
2022-01-19,,49.2346,53.1101,119.14
2022-02-17,,53.1101,54.9734,75.75
2022-03-18,,54.9734,51.1798,37.28
2022-04-18,,51.1798,54.191,73.17
2022-05-17,,54.191,57.1953,64.48
2022-06-15,,57.1953,57.5759,53.9
2022-07-14,,57.5759,50.5485,50.87
2022-08-12,,50.5485,51.6321,41.69
2022-09-12,,51.6321,58.9671,59.19
2022-10-11,,58.9671,54.0169,69.83
2022-11-09,,54.0169,51.1596,53.76
2022-12-08,,51.1596,49.9202,36.5
2023-01-06,,49.9202,43.2169,40.11
2023-02-06,,43.2169,39.9579,36.77
2023-03-07,,39.9579,43.5862,40.64
2023-04-05,,43.5862,46.6511,34.85
2023-05-04,,46.6511,43.404,79.56
2023-06-02,,43.404,42.6167,44.28
2023-07-03,,42.6167,43.2533,35.41
2023-08-01,,43.2533,40.5567,67.52
2023-08-30,,40.5567,43.7816,34.65
2023-09-28,,43.7816,47.7964,35.73
2023-10-27,,47.7964,39.2891,36.19
2023-11-27,,39.2891,40.8581,31.1
2023-12-26,,40.8581,39.6319,29.55
2024-01-24,,39.6319,40.5686,63.96
2024-02-22,,40.5686,39.5916,27.82
2024-03-22,,39.5916,41.8351,32.81
2024-04-22,,41.8351,36.4561,24.98
2024-05-21,,36.4561,36.8319,27.96
2024-06-19,,36.8319,36.5353,31.52
2024-07-18,,36.5353,44.4353,82.37
