,return,iv,ive,rv,realiv
2022-04-29,,33.9368,32.8281,38.36,31.293472412315538
2022-05-30,,32.8281,33.2356,30.82,30.08752517224296
2022-06-28,,33.2356,30.6089,31.5,30.531625058950823
2022-07-27,,30.6089,28.605,20.32,27.740996682279647
2022-08-25,,28.605,35.1969,32.61,25.51282349557278
2022-09-23,,35.1969,35.0818,27.11,32.733467694795955
2022-10-24,,35.0818,36.0731,57.99,32.81164471062915
2022-11-22,,36.0731,38.4415,32.84,33.86945350882647
2022-12-21,,38.4415,35.1961,36.49,36.38159231845904
2023-01-19,,35.1961,34.2489,43.96,32.933824445189444
2023-02-17,,34.2489,39.2019,36.0,32.091325903403984
2023-03-20,,39.2019,34.6331,24.67,37.33168909436711
2023-04-18,,34.6331,31.7382,50.72,32.50104094699872
2023-05-17,,31.7382,29.5769,19.78,29.00077950661314
2023-06-15,,29.5769,28.863,18.31,26.61813078262996
2023-07-14,,28.863,28.1744,24.18,25.8225607125086
2023-08-14,,28.1744,28.8386,36.1,25.08679737596365
2023-09-12,,28.8386,33.5978,28.31,25.83051368406476
2023-10-11,,33.5978,37.6987,56.49,31.054190571687048
2023-11-09,,37.6987,36.1823,33.92,35.05085626649045
2023-12-08,,36.1823,36.4464,30.69,33.41450847482531
2024-01-08,,36.4464,37.2777,28.46,33.700305878198975
2024-02-06,,37.2777,34.9298,25.36,34.59765108521347
2024-03-06,,34.9298,34.4647,23.94,30.740321757184105
2024-04-04,,34.4647,29.6972,45.23,30.21079276988948
2024-05-03,,29.6972,30.5009,26.44,24.159467140582
2024-06-03,,30.5009,30.4849,31.03,25.1408246779389
2024-07-02,,30.4849,31.2381,32.22,25.121411040920083
2024-07-31,,31.2381,30.1688,20.09,25.080008750100905
