,return,iv,ive,rv,realiv
2022-06-28,,93.9206,86.6876,93.63,93.63712403137173
2022-07-27,,86.6876,80.5663,61.01,86.38039063506538
2022-08-25,,80.5663,84.8893,79.35,80.23565658855476
2022-09-23,,84.8893,84.6257,69.08,83.40254068675286
2022-10-24,,84.6257,83.4752,112.24,83.1342266398471
2022-11-22,,83.4752,75.6872,71.52,81.96279371492571
2022-12-21,,75.6872,76.3456,64.24,72.05363908294258
2023-01-19,,76.3456,72.4467,80.28,72.74493316111405
2023-02-17,,72.4467,69.3222,58.58,68.64181671652456
2023-03-20,,69.3222,67.4274,58.09,62.27212365747477
2023-04-18,,67.4274,60.5907,52.45,60.15566675494362
2023-05-17,,60.5907,58.1887,112.86,52.378267425162406
2023-06-15,,58.1887,55.3108,46.66,50.03217794077816
2023-07-14,,55.3108,58.3319,40.59,46.653816761843714
2023-08-14,,58.3319,50.5698,36.45,50.19865117129831
2023-09-12,,50.5698,52.5241,25.13,42.63071919038887
2023-10-11,,52.5241,54.9347,45.44,44.93166619946104
2023-11-09,,54.9347,51.5237,78.63,47.727296285666434
2023-12-08,,51.5237,50.2591,75.12,43.60791985815669
2024-01-08,,50.2591,52.0152,37.26,42.10624829494331
2024-02-06,,52.0152,52.125,74.33,44.18755530356276
2024-03-06,,52.125,45.4635,52.12,44.33522125439299
2024-04-04,,45.4635,10.2576,74.0,36.2701812916062
2024-05-03,,10.2576,7.4554,3.88,0.0
2024-06-03,,7.4554,19.6399,6.78,0.0
2024-07-02,,19.6399,34.3227,5.61,0.0
2024-07-31,,34.3227,8.7182,3.45,26.49809352284129
