,return,iv,ive,rv,realiv
2022-04-29,,33.2429,36.7932,76.56,31.63807230337823
2022-05-30,,36.7932,37.1882,34.54,35.052759038264114
2022-06-28,,37.1882,35.1754,29.58,35.4671477454081
2022-07-27,,35.1754,35.3476,53.64,33.35063890114561
2022-08-25,,35.3476,36.3702,18.95,33.36787465474258
2022-09-23,,36.3702,38.593,39.98,34.4492914477876
2022-10-24,,38.593,33.1822,33.78,36.78833894340178
2022-11-22,,33.1822,33.0268,23.57,30.560741741389123
2022-12-21,,33.0268,32.7853,33.59,30.391940661693244
2023-01-19,,32.7853,29.0958,26.81,30.129328486275348
2023-02-17,,29.0958,31.9853,27.87,25.426574401994472
2023-03-20,,31.9853,30.7691,25.75,28.68805542852565
2023-04-18,,30.7691,31.7915,29.28,27.32549401182274
2023-05-17,,31.7915,28.8526,21.81,27.951800034886805
2023-06-15,,28.8526,28.8424,22.55,24.557609405239305
2023-07-14,,28.8424,29.8107,19.32,24.54562467529189
2023-08-14,,29.8107,24.6594,34.34,25.67647731738717
2023-09-12,,24.6594,28.2577,24.84,19.512961640295742
2023-10-11,,28.2577,27.4954,22.62,23.899106111017066
2023-11-09,,27.4954,28.2548,26.25,23.24237548806713
2023-12-08,,28.2548,29.3856,24.71,24.13596321277242
2024-01-08,,29.3856,29.2629,19.67,25.45043191241169
2024-02-06,,29.2629,29.0014,31.92,25.308660841267432
2024-03-06,,29.0014,29.882,20.23,25.156803053390853
2024-04-04,,29.882,30.4509,18.17,26.16710648709741
2024-05-03,,30.4509,28.2813,39.92,26.814937044809472
2024-06-03,,28.2813,29.1494,21.68,24.61206887277508
2024-07-02,,29.1494,31.2362,21.88,25.604873068777824
2024-07-31,,31.2362,28.2153,47.14,27.957506951590368
