,return,iv,ive,rv,realiv
2022-02-01,,26.4283,31.8568,38.31,26.063652190947213
2022-03-02,,31.8568,28.4225,35.14,31.445754741604983
2022-03-31,,28.4225,31.6583,37.39,27.961013774167284
2022-04-29,,31.6583,27.7678,37.09,31.13625485209976
2022-05-30,,27.7678,28.7565,35.57,27.17110826162425
2022-06-28,,28.7565,29.7719,28.39,28.180750514755733
2022-07-27,,29.7719,26.9423,28.9,29.216167389561992
2022-08-25,,26.9423,31.3879,24.32,26.117916514201927
2022-09-23,,31.3879,32.2506,38.75,30.68319247019159
2022-10-24,,32.2506,27.6842,37.9,31.565158547246703
2022-11-22,,27.6842,25.9995,21.5,27.017767240814504
2022-12-21,,25.9995,23.9075,22.63,25.28870928475452
2023-01-19,,23.9075,23.5041,14.5,23.13251765997012
2023-02-17,,23.5041,29.1041,32.71,22.715358985691367
2023-03-20,,29.1041,23.395,20.12,28.36023320594706
2023-04-18,,23.395,23.0204,23.3,22.46286303403247
2023-05-17,,23.0204,21.0173,16.36,22.251822601038285
2023-06-15,,21.0173,19.4375,16.79,20.172547984775697
2023-07-14,,19.4375,21.0374,19.38,18.52083149208151
2023-08-14,,21.0374,20.5367,17.13,20.36905041400377
2023-09-12,,20.5367,22.8615,18.28,19.85150026819704
2023-10-11,,22.8615,20.6761,20.91,22.24801560270549
2023-11-09,,20.6761,19.7619,15.37,19.63624140233916
2023-12-08,,19.7619,18.6209,15.36,18.671195912713745
2024-01-08,,18.6209,24.7438,22.33,17.459060169749645
2024-02-06,,24.7438,29.2805,36.26,23.881719026086422
2024-03-06,,29.2805,19.8678,17.44,28.60365383787632
2024-04-04,,19.8678,19.1298,21.9,18.856054981545228
2024-05-03,,19.1298,19.1167,14.75,17.815950610098188
2024-06-03,,19.1167,23.9932,16.69,17.801883804571304
2024-07-02,,23.9932,17.8045,17.25,22.959366157223464
2024-07-31,,17.8045,18.4953,28.66,16.384720575934704
