,return,iv,ive,rv,realiv
2022-02-01,,28.7883,29.1021,33.47,26.666894599852032
2022-03-02,,29.1021,26.4794,17.6,26.98838536547495
2022-03-31,,26.4794,30.0639,27.46,24.13709478345276
2022-04-29,,30.0639,27.3447,30.84,28.02282647120705
2022-05-30,,27.3447,28.9202,29.06,26.096801015005223
2022-06-28,,28.9202,26.7918,17.19,27.74325815701497
2022-07-27,,26.7918,27.4093,21.98,25.516875834764285
2022-08-25,,27.4093,29.9607,23.14,25.98782516189361
2022-09-23,,29.9607,29.4666,28.68,28.666023000150386
2022-10-24,,29.4666,26.8362,31.39,28.14920683989428
2022-11-22,,26.8362,25.0562,18.09,25.67902646253525
2022-12-21,,25.0562,21.2156,20.92,23.812684184349852
2023-01-19,,21.2156,23.9643,33.63,19.731509141056232
2023-02-17,,23.9643,24.6211,16.8,22.76475440557128
2023-03-20,,24.6211,23.6438,21.88,23.455168595982784
2023-04-18,,23.6438,24.0889,31.25,22.42711856427341
2023-05-17,,24.0889,21.4173,13.67,21.97818304016017
2023-06-15,,21.4173,23.9398,21.5,19.01226356399428
2023-07-14,,23.9398,22.4295,16.76,21.814661367456164
2023-08-14,,22.4295,21.0881,13.8,20.68483304310095
2023-09-12,,21.0881,22.7573,16.85,19.22206568974732
2023-10-11,,22.7573,28.2876,23.33,21.03983248652329
2023-11-09,,28.2876,23.7615,31.18,26.92523280365392
2023-12-08,,23.7615,23.9805,18.58,21.64658607674034
2024-01-08,,23.9805,24.2795,17.65,21.88675825191407
2024-02-06,,24.2795,23.7245,29.04,22.21395792689201
2024-03-06,,23.7245,24.6886,16.81,21.34299421520357
2024-04-04,,24.6886,25.9949,23.12,22.40978517925179
2024-05-03,,25.9949,22.9534,22.09,23.84127362013643
2024-06-03,,22.9534,24.4841,21.21,20.08985154863325
2024-07-02,,24.4841,25.1573,24.87,21.822344431708565
2024-07-31,,25.1573,23.2803,39.77,22.57505940138634
