,return,iv,ive,rv,realiv
2022-03-02,,53.5582,65.3411,162.85,53.13619569474509
2022-03-31,,65.3411,69.9219,66.89,64.7198690785892
2022-04-29,,69.9219,63.4744,78.33,69.34172051477901
2022-05-30,,63.4744,60.69,70.56,62.69518959787357
2022-06-28,,60.69,57.8472,47.48,59.87456424353595
2022-07-27,,57.8472,50.9469,28.28,56.99110361445297
2022-08-25,,50.9469,53.4656,52.74,49.97273219430087
2022-09-23,,53.4656,66.6558,88.78,52.17705940585721
2022-10-24,,66.6558,63.2501,91.51,65.62675383197276
2022-11-22,,63.2501,54.7711,52.19,62.16470296633253
2022-12-21,,54.7711,49.3444,43.55,53.82168078591497
2023-01-19,,49.3444,48.5012,38.63,48.28840170031442
2023-02-17,,48.5012,44.3987,45.17,47.42643069904089
2023-03-20,,44.3987,42.4347,33.03,43.22203707717775
2023-04-18,,42.4347,43.941,39.46,41.32838535604672
2023-05-17,,43.941,41.553,45.4,42.8735717318711
2023-06-15,,41.553,39.1811,41.91,40.55470157286615
2023-07-14,,39.1811,44.4691,50.45,38.12073724200823
2023-08-14,,44.4691,41.5865,40.32,43.53771773387109
2023-09-12,,41.5865,44.2807,27.58,40.09651974307009
2023-10-11,,44.2807,44.7077,38.57,42.884429642312014
2023-11-09,,44.7077,42.0465,36.24,43.32519304684527
2023-12-08,,42.0465,42.1995,25.6,40.40088901061765
2024-01-08,,42.1995,41.5733,43.29,40.56009702710592
2024-02-06,,41.5733,44.5788,50.12,39.90818141043571
2024-03-06,,44.5788,40.683,37.73,43.03014152937736
2024-04-04,,40.683,40.7691,43.69,38.96106042570691
2024-05-03,,40.7691,39.5822,37.44,39.05095716247664
2024-06-03,,39.5822,36.7668,22.16,38.29167014815916
2024-07-02,,36.7668,38.4019,38.15,35.37370532097851
2024-07-31,,38.4019,40.6426,43.34,37.070303067353294
