,return,iv,ive,rv,realiv
2022-04-29,,26.7607,25.6967,31.68,24.493014056265263
2022-05-30,,25.6967,26.3768,18.76,23.32580253625602
2022-06-28,,26.3768,24.3326,25.52,24.07297761620709
2022-07-27,,24.3326,23.3804,15.03,21.797535431199407
2022-08-25,,23.3804,26.9523,20.28,20.72921205145998
2022-09-23,,26.9523,26.8681,31.88,24.687721713523786
2022-10-24,,26.8681,24.321,20.72,24.1442229718123
2022-11-22,,24.321,24.7702,23.27,21.273451678150145
2022-12-21,,24.7702,24.1478,17.87,21.78558039948876
2023-01-19,,24.1478,20.2767,18.9,21.07522123591088
2023-02-17,,20.2767,22.6948,15.78,17.742532303994835
2023-03-20,,22.6948,20.537,18.24,20.462327255429678
2023-04-18,,20.537,19.5933,13.03,18.03943620705204
2023-05-17,,19.5933,18.7935,16.14,17.063754569259853
2023-06-15,,18.7935,18.6732,16.72,16.13908167647517
2023-07-14,,18.6732,18.7816,12.85,15.998834749754012
2023-08-14,,18.7816,18.5611,10.48,16.509719182139456
2023-09-12,,18.5611,20.7466,15.03,16.258436644496403
2023-10-11,,20.7466,18.8493,21.62,18.71480003828797
2023-11-09,,18.8493,18.2228,13.3,16.903553321481905
2023-12-08,,18.2228,18.9059,11.79,16.201988897730487
2024-01-08,,18.9059,18.9528,36.71,16.966645490850038
2024-02-06,,18.9528,24.0754,21.75,16.97960781095115
2024-03-06,,24.0754,25.2701,19.92,22.554896114451807
2024-04-04,,25.2701,22.0932,32.72,23.825960790358767
2024-05-03,,22.0932,22.5031,15.16,19.990090655020705
2024-06-03,,22.5031,23.0044,14.65,20.44220506124391
2024-07-02,,23.0044,21.6134,20.51,20.992776317484694
2024-07-31,,21.6134,21.6888,18.97,18.961417328495656
