,return,iv,ive,rv
2022-01-19,,52.2812,54.2654,45.37
2022-02-17,,54.2654,58.5041,100.82
2022-03-18,,58.5041,54.71,45.62
2022-04-18,,54.71,64.0884,94.03
2022-05-17,,64.0884,65.5151,65.96
2022-06-15,,65.5151,61.6404,62.97
2022-07-14,,61.6404,53.2623,54.99
2022-08-12,,53.2623,53.352,49.98
2022-09-12,,53.352,63.9955,58.98
2022-10-11,,63.9955,56.9415,85.5
2022-11-09,,56.9415,51.8114,40.77
2022-12-08,,51.8114,49.0068,32.7
2023-01-06,,49.0068,41.814,20.54
2023-02-06,,41.814,39.1642,21.65
2023-03-07,,39.1642,42.2577,40.89
2023-04-05,,42.2577,43.5915,35.43
2023-05-04,,43.5915,38.6194,42.33
2023-06-02,,38.6194,35.5686,54.62
2023-07-03,,35.5686,34.6474,19.11
2023-08-01,,34.6474,33.9287,17.84
2023-08-30,,33.9287,37.0844,39.52
2023-09-28,,37.0844,46.7799,48.28
2023-10-27,,46.7799,37.5003,47.74
2023-11-27,,37.5003,38.6479,31.47
2023-12-26,,38.6479,36.741,26.56
2024-01-24,,36.741,37.4867,25.83
2024-02-22,,37.4867,44.4459,60.47
2024-03-22,,44.4459,40.5343,33.54
2024-04-22,,40.5343,36.3916,21.54
2024-05-21,,36.3916,38.2677,31.79
2024-06-19,,38.2677,36.2761,21.7
2024-07-18,,36.2761,30.3422,66.15
