,return,iv,ive,rv,realiv
2022-04-29,,31.5357,31.027,30.44,30.192076650794068
2022-05-30,,31.027,33.0666,33.55,29.66034131626648
2022-06-28,,33.0666,30.3992,30.22,31.78775162790575
2022-07-27,,30.3992,28.8296,18.11,29.03420154726176
2022-08-25,,28.8296,30.8814,28.41,27.38648088029963
2022-09-23,,30.8814,29.7281,31.77,29.53869267261192
2022-10-24,,29.7281,27.7731,23.24,28.326596136745557
2022-11-22,,27.7731,28.6965,31.47,26.26749327009123
2022-12-21,,28.6965,25.8557,17.65,27.241975540226303
2023-01-19,,25.8557,24.5838,19.11,24.249551098082232
2023-02-17,,24.5838,28.418,19.99,22.888572004572527
2023-03-20,,28.418,25.646,40.04,26.96490737919382
2023-04-18,,25.646,24.4158,16.71,23.97003148582808
2023-05-17,,24.4158,24.9296,19.08,22.6489819433808
2023-06-15,,24.9296,22.3033,23.65,23.20194064279084
2023-07-14,,22.3033,22.8381,35.71,20.3539255260893
2023-08-14,,22.8381,22.0352,16.01,20.41000538579943
2023-09-12,,22.0352,25.6672,19.55,19.507422876391484
2023-10-11,,25.6672,24.3323,30.37,23.53284224394414
2023-11-09,,24.3323,22.4575,19.21,22.049990940879447
2023-12-08,,22.4575,24.3085,25.95,19.9619784453562
2024-01-08,,24.3085,21.3483,24.13,22.02372469526591
2024-02-06,,21.3483,25.0038,19.7,18.25304403607911
2024-03-06,,25.0038,26.598,21.92,22.41904810943237
2024-04-04,,26.598,23.8849,21.27,24.184236760605927
2024-05-03,,23.8849,23.9675,12.63,20.877687268308456
2024-06-03,,23.9675,24.1742,21.2,20.97213470091419
2024-07-02,,24.1742,26.0797,37.53,21.208048550097413
2024-07-31,,26.0797,24.5274,21.97,23.51778476836937
