,return,iv,ive,rv,realiv
2022-09-23,,76.981,77.1396,56.77,73.60580320637337
2022-10-24,,77.1396,78.4683,80.43,73.77165982147457
2022-11-22,,78.4683,69.4292,82.88,75.15992289475399
2022-12-21,,69.4292,64.3727,68.67,64.2998765879508
2023-01-19,,64.3727,59.2855,41.9,58.803952434132384
2023-02-17,,59.2855,61.9259,63.35,53.18675424234595
2023-03-20,,61.9259,58.7015,44.0,51.333006609220654
2023-04-18,,58.7015,57.9093,55.76,47.3933178726948
2023-05-17,,57.9093,64.4114,105.16,46.40848525024591
2023-06-15,,64.4114,60.951,44.17,54.82824284163282
2023-07-14,,60.951,63.5311,48.16,50.71816404544885
2023-08-14,,63.5311,57.1421,55.64,53.79134159277923
2023-09-12,,57.1421,60.1333,52.7,47.220876723247024
2023-10-11,,60.1333,63.5816,61.75,50.79965920153493
2023-11-09,,63.5816,58.1003,93.47,54.838047600749725
2023-12-08,,58.1003,58.9377,46.19,48.81262396827518
2024-01-08,,58.9377,57.7355,39.46,49.80642408232328
2024-02-06,,57.7355,69.9364,58.72,48.37783954279307
2024-03-06,,69.9364,56.9081,61.23,62.43498573346704
2024-04-04,,56.9081,57.5303,46.4,46.69881489400871
2024-05-03,,57.5303,63.4385,44.51,47.45506174250424
2024-06-03,,63.4385,53.777,60.77,54.46733653433854
2024-07-02,,53.777,55.6335,47.03,41.67470080214466
2024-07-31,,55.6335,57.0227,40.84,44.04431041801286
