,return,iv,ive,rv,realiv
2022-04-29,,37.2326,34.6205,40.01,35.551413689953954
2022-05-30,,34.6205,34.326,42.82,32.80572408657132
2022-06-28,,34.326,31.8611,26.9,32.49478094393384
2022-07-27,,31.8611,30.8531,27.7,30.1604241968494
2022-08-25,,30.8531,36.2605,40.26,29.093560698785204
2022-09-23,,36.2605,38.4359,37.61,34.7756431252378
2022-10-24,,38.4359,34.3872,53.8,37.03835718999829
2022-11-22,,34.3872,34.8304,26.66,32.576319675732194
2022-12-21,,34.8304,32.3424,23.75,33.04381703035374
2023-01-19,,32.3424,29.5588,30.17,30.4099969999258
2023-02-17,,29.5588,33.6615,32.08,27.55576046475745
2023-03-20,,33.6615,29.2474,23.12,31.91698387381065
2023-04-18,,29.2474,29.954,31.5,27.221456318703623
2023-05-17,,29.954,27.5375,20.58,28.695377260906607
2023-06-15,,27.5375,24.9309,17.02,26.162883373125293
2023-07-14,,24.9309,24.8418,18.1,23.403682081154574
2023-08-14,,24.8418,24.3152,16.45,23.32595859176257
2023-09-12,,24.3152,25.7807,22.97,22.76432006506283
2023-10-11,,25.7807,27.2646,39.69,24.32344156312223
2023-11-09,,27.2646,26.0059,24.44,26.03870083114918
2023-12-08,,26.0059,26.4288,25.83,24.717652854267715
2024-01-08,,26.4288,27.2109,23.37,25.16221367952528
2024-02-06,,27.2109,26.6512,47.93,25.982467292851325
2024-03-06,,26.6512,26.7682,17.59,25.272189150178733
2024-04-04,,26.7682,25.461,27.46,25.395543196443185
2024-05-03,,25.461,26.1965,18.91,23.902430799329093
2024-06-03,,26.1965,26.3697,14.05,24.684413895547856
2024-07-02,,26.3697,25.5788,42.91,24.868147401982245
2024-07-31,,25.5788,27.717,29.21,23.579280537216377
