,return,iv,ive,rv,realiv
2022-04-29,,40.2588,37.8085,44.21,39.14840915030489
2022-05-30,,37.8085,40.0919,43.38,36.62389430153047
2022-06-28,,40.0919,37.1822,33.52,38.97675470289536
2022-07-27,,37.1822,34.444,30.28,35.976978172154425
2022-08-25,,34.444,40.0126,44.42,33.205586027707085
2022-09-23,,40.0126,43.5707,46.95,38.951636245521904
2022-10-24,,43.5707,38.5857,66.76,42.59844722444066
2022-11-22,,38.5857,38.1495,32.31,37.43278080331442
2022-12-21,,38.1495,34.6932,28.81,36.98298506650031
2023-01-19,,34.6932,32.6288,38.39,33.40621140475202
2023-02-17,,32.6288,38.7249,32.01,31.439400613595797
2023-03-20,,38.7249,32.7535,31.68,37.72817516806462
2023-04-18,,32.7535,34.9909,25.87,31.568799213023095
2023-05-17,,34.9909,30.3221,27.42,33.944040884267764
2023-06-15,,30.3221,29.2883,29.27,29.10780955607689
2023-07-14,,29.2883,28.8691,34.75,28.029258742122337
2023-08-14,,28.8691,28.217,24.12,27.54819940828724
2023-09-12,,28.217,31.8789,26.98,26.86405488433861
2023-10-11,,31.8789,32.4583,35.19,30.6878252901498
2023-11-09,,32.4583,29.2992,30.83,31.68993186025133
2023-12-08,,29.2992,29.3645,38.83,28.44562643109433
2024-01-08,,29.3645,29.6643,40.2,28.51288134628579
2024-02-06,,29.6643,30.8325,32.25,28.841828357385573
2024-03-06,,30.8325,28.7314,21.19,30.042027640571973
2024-04-04,,28.7314,28.1345,37.14,27.88142238959287
2024-05-03,,28.1345,27.6665,23.99,27.13730274554849
2024-06-03,,27.6665,28.3518,19.56,26.651797918781277
2024-07-02,,28.3518,28.2588,25.3,27.36252315291033
2024-07-31,,28.2588,28.5944,39.62,27.155578652111725
